,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[1015, 41, 324, 69]",0.7450065566981848,0.5864563750205901,0.2025960804275897,0.3010836486930174
1,rbf,0.1,1.0,,50,"[1020, 36, 319, 74]",0.7460142176823797,0.6074474937315142,0.17928226011707812,0.2768072853330523
2,poly,0.1,1.0,2.0,50,"[1016, 40, 328, 65]",0.7444820208433984,0.57817958647585,0.21348943751590738,0.311737558265006
3,poly,0.1,1.0,3.0,50,"[1017, 39, 325, 68]",0.660280212575057,0.37363053348120123,0.3328582336472385,0.34636762316967434
4,rbf,0.1,10.0,,50,"[1030, 26, 354, 39]",0.7394713230726759,0.598280126872925,0.12048867396284042,0.20035259421426618
5,poly,0.1,10.0,2.0,50,"[478, 578, 173, 220]",0.47244116226102556,0.26523048497988394,0.5340799185543396,0.35440206700000154
6,poly,0.1,10.0,3.0,50,"[254, 802, 116, 277]",0.34421975291600526,0.2537924945191666,0.730974802748791,0.3767615534522048
7,linear,1.0,,,50,"[1015, 41, 324, 69]",0.7450893781489406,0.5858815967176053,0.20478493255281244,0.3034173627277605
8,rbf,1.0,1.0,,50,"[1002, 54, 300, 93]",0.7437090206363448,0.5672280298866831,0.2316110969712395,0.3289083516135519
9,poly,1.0,1.0,2.0,50,"[1020, 36, 330, 63]",0.7203947822486023,0.47467310844626864,0.235123441079155,0.3134311974613872
10,poly,1.0,1.0,3.0,50,"[212, 844, 99, 294]",0.36075643591690243,0.2595804836959594,0.7327564265716469,0.38334628596695397
11,rbf,1.0,10.0,,50,"[1000, 56, 302, 91]",0.7400234660777141,0.5502212120783632,0.22606261135148892,0.3204564212747084
12,poly,1.0,10.0,2.0,50,"[501, 555, 204, 189]",0.4346055628407758,0.24765231908230695,0.5326037159582592,0.3380495729510491
13,poly,1.0,10.0,3.0,50,"[192, 864, 88, 305]",0.3440955207398716,0.2538177899998697,0.7314838381267499,0.37685119076653023
14,linear,10.0,,,50,"[1015, 41, 324, 69]",0.7450479674235627,0.5856964088615345,0.20463222193942482,0.30322598204781714
15,rbf,10.0,1.0,,50,"[996, 60, 297, 96]",0.7400234660777141,0.5462706486425074,0.24367523542886232,0.3370049269500872
16,poly,10.0,1.0,2.0,50,"[424, 632, 144, 249]",0.4781972530885499,0.2671285810524996,0.5301603461440569,0.35515021258744517
17,poly,10.0,1.0,3.0,50,"[194, 862, 95, 298]",0.3465249499620402,0.2547841065904787,0.7325019088826673,0.3780590428406893
18,rbf,10.0,10.0,,50,"[1000, 56, 302, 91]",0.7400234660777141,0.5502212120783632,0.22606261135148892,0.3204564212747084
19,poly,10.0,10.0,2.0,50,"[408, 648, 157, 236]",0.4093312167851474,0.25035147228079707,0.5909900738101298,0.3516719501383162
20,poly,10.0,10.0,3.0,50,"[194, 862, 90, 303]",0.34087928773552345,0.2557744968452317,0.749198269279715,0.38135323647612335
21,linear,100.0,,,50,"[1016, 40, 324, 69]",0.7450893781489405,0.5868622332656702,0.20269788750318146,0.3012498754362303
22,rbf,100.0,1.0,,50,"[996, 60, 297, 96]",0.7400234660777141,0.5462706486425074,0.24367523542886232,0.3370049269500872
23,poly,100.0,1.0,2.0,50,"[629, 427, 267, 126]",0.43134791911104975,0.24981339786897508,0.5479765843726139,0.3430964966846017
24,poly,100.0,1.0,3.0,50,"[188, 868, 96, 297]",0.34464766374490996,0.2540499977413669,0.7316874522779333,0.37713824404209284
25,rbf,100.0,10.0,,50,"[1000, 56, 302, 91]",0.7400234660777141,0.5502212120783632,0.22606261135148892,0.3204564212747084
26,poly,100.0,10.0,2.0,50,"[161, 895, 74, 319]",0.33904341224377116,0.2574286434767655,0.7628404174090099,0.3849386968530629
27,poly,100.0,10.0,3.0,50,"[186, 870, 95, 298]",0.32715853406032164,0.2568754101262742,0.7826418936116061,0.3867878040003181
28,linear,1000.0,,,50,"[1021, 35, 336, 57]",0.7451998067499481,0.5882473942471114,0.20239246627640622,0.30066104240926894
29,rbf,1000.0,1.0,,50,"[996, 60, 297, 96]",0.7400234660777141,0.5462706486425074,0.24367523542886232,0.3370049269500872
30,poly,1000.0,1.0,2.0,50,"[328, 728, 146, 247]",0.41220236041134656,0.2507265584546711,0.5872232120132349,0.35134632920658915
31,poly,1000.0,1.0,3.0,50,"[194, 862, 96, 297]",0.3454620746773414,0.2542359571678354,0.7313311275133622,0.37728854901528364
32,rbf,1000.0,10.0,,50,"[1000, 56, 302, 91]",0.7400234660777141,0.5502212120783632,0.22606261135148892,0.3204564212747084
33,poly,1000.0,10.0,2.0,50,"[129, 927, 65, 328]",0.3335219821933881,0.2580607519079259,0.7776024433698141,0.387499473282281
34,poly,1000.0,10.0,3.0,50,"[1055, 1, 393, 0]",0.6608461591552212,0.23625122472077614,0.11600916263680325,0.14739857718801386
