,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[1018, 38, 324, 69]",0.7473531644695977,0.6056110643318936,0.19582590990073814,0.2959504769082363
1,rbf,0.1,1.0,,50,"[1048, 8, 383, 10]",0.734543446752709,0.6378732354435315,0.04958004581318401,0.09181631500090724
2,poly,0.1,1.0,2.0,50,"[1008, 48, 311, 82]",0.7484436469045483,0.5978252063425569,0.221074064647493,0.3227486657290034
3,poly,0.1,1.0,3.0,50,"[374, 682, 142, 251]",0.43064393677962604,0.2578246496876163,0.5852888775769916,0.3579546374837174
4,rbf,0.1,10.0,,50,"[1056, 0, 393, 0]",0.7305818206915592,0.6751825491363908,0.013845762280478494,0.02708027665084036
5,poly,0.1,10.0,2.0,50,"[440, 616, 172, 221]",0.4492235488991649,0.24568451142391057,0.49814202087045045,0.3290498991339074
6,poly,0.1,10.0,3.0,50,"[386, 670, 152, 241]",0.42226516667816966,0.25511326588375405,0.5886994146093153,0.3559475882294647
7,linear,1.0,,,50,"[1018, 38, 324, 69]",0.7473531644695977,0.6053468371130724,0.19623313820310512,0.2963823765372796
8,rbf,1.0,1.0,,50,"[974, 82, 302, 91]",0.7329836427634758,0.5163617407309378,0.24219903283278188,0.3297139484392658
9,poly,1.0,1.0,2.0,50,"[451, 605, 182, 211]",0.4622955345434468,0.2453066832984855,0.47355561211504205,0.3231406526429917
10,poly,1.0,1.0,3.0,50,"[362, 694, 147, 246]",0.4236455241907654,0.25475589454338693,0.5844744209722575,0.35482253903859895
11,rbf,1.0,10.0,,50,"[954, 102, 313, 80]",0.7203533715232245,0.4665463009984802,0.2179689488419445,0.29710286738137204
12,poly,1.0,10.0,2.0,50,"[474, 582, 191, 202]",0.45031403133411557,0.2462459474260128,0.4985492491728175,0.32960536255899714
13,poly,1.0,10.0,3.0,50,"[345, 711, 151, 242]",0.4201532196838982,0.25497081896764484,0.592160855179435,0.35643971408921515
14,linear,10.0,,,50,"[1018, 38, 324, 69]",0.7474497894954795,0.6059505211662986,0.19633494527869685,0.2965725674274241
15,rbf,10.0,1.0,,50,"[931, 125, 288, 105]",0.7198978535440679,0.4717336511327531,0.2741664545685925,0.3467708227933469
16,poly,10.0,1.0,2.0,50,"[431, 625, 177, 216]",0.44951342397681004,0.24557065465985967,0.49727666072792065,0.32872423689190183
17,poly,10.0,1.0,3.0,50,"[383, 673, 153, 240]",0.42462557802470846,0.25597508700967087,0.5882921863069484,0.35671787027934465
18,rbf,10.0,10.0,,50,"[954, 102, 313, 80]",0.7203533715232245,0.4665463009984802,0.2179689488419445,0.29710286738137204
19,poly,10.0,10.0,2.0,50,"[425, 631, 186, 207]",0.4435916902477741,0.24528796723870805,0.5066938152201578,0.3305293713577887
20,poly,10.0,10.0,3.0,50,"[93, 963, 46, 347]",0.4069431982883566,0.25598106698507594,0.6226011707813693,0.3621211333251343
21,linear,100.0,,,50,"[1016, 40, 322, 71]",0.7469804679411968,0.6074625812783708,0.1892084499872741,0.2885353165813592
22,rbf,100.0,1.0,,50,"[931, 125, 288, 105]",0.7198978535440679,0.4717336511327531,0.2741664545685925,0.3467708227933469
23,poly,100.0,1.0,2.0,50,"[439, 617, 175, 218]",0.45118365656705084,0.24627804495296304,0.49702214303894116,0.32932004926422354
24,poly,100.0,1.0,3.0,50,"[373, 683, 151, 242]",0.42452895299882665,0.254670498903694,0.5823873759226266,0.35436396797144515
25,rbf,100.0,10.0,,50,"[954, 102, 313, 80]",0.7203533715232245,0.4665463009984802,0.2179689488419445,0.29710286738137204
26,poly,100.0,10.0,2.0,50,"[444, 612, 192, 201]",0.4453861550141487,0.24526650472253367,0.5033850852634258,0.3297878109164132
27,poly,100.0,10.0,3.0,50,"[1055, 1, 393, 0]",0.4748429843329423,0.2655686095082782,0.5311784168999745,0.352572644584244
28,linear,1000.0,,,50,"[1025, 31, 346, 47]",0.7418179308440885,0.5915147272001117,0.15449223721048613,0.24440473013131814
29,rbf,1000.0,1.0,,50,"[931, 125, 288, 105]",0.7198978535440679,0.4717336511327531,0.2741664545685925,0.3467708227933469
30,poly,1000.0,1.0,2.0,50,"[423, 633, 179, 214]",0.4451791013872593,0.24555427504245103,0.5048103843217103,0.33033610399142677
31,poly,1000.0,1.0,3.0,50,"[364, 692, 150, 243]",0.4205535233625509,0.2549618073749519,0.5913973021124967,0.35630517220087315
32,rbf,1000.0,10.0,,50,"[954, 102, 313, 80]",0.7203533715232245,0.4665463009984802,0.2179689488419445,0.29710286738137204
33,poly,1000.0,10.0,2.0,50,"[443, 613, 184, 209]",0.4444199047553317,0.24682464071029883,0.5114278442351744,0.33292966693695003
34,poly,1000.0,10.0,3.0,50,"[13, 1043, 4, 389]",0.47064669749465116,0.2669484360354105,0.5443624331891067,0.34712147451898706
