,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1013, 43, 315, 78]","[996, 60, 296, 97]","[998, 58, 317, 76]","[997, 59, 286, 107]","[1005, 51, 315, 78]","[1005, 51, 312, 81]",[10001   559  3083   846],[9981  579 3052  877],[10019   541  3103   826],[10006   554  3097   832],[9995  565 3067  862]
1,rbf,0.1,1.0,,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10559     1  3928     1],[10559     1  3929     0],[10560     0  3929     0],[10558     2  3929     0],[10560     0  3929     0]
2,poly,0.1,1.0,2.0,"[432, 624, 149, 244]","[636, 420, 207, 186]","[668, 388, 241, 152]","[660, 396, 287, 106]","[644, 412, 218, 175]","[415, 641, 156, 237]",[5486 5074 1967 1962],[5492 5068 1969 1960],[4809 5751 1939 1990],[4689 5871 1946 1983],[4942 5618 1899 2030]
3,poly,0.1,1.0,3.0,"[562, 494, 188, 205]","[551, 505, 201, 192]","[401, 655, 168, 225]","[436, 620, 191, 202]","[422, 634, 171, 222]","[471, 585, 198, 195]",[4601 5959 1780 2149],[4272 6288 1719 2210],[4328 6232 1623 2306],[4222 6338 1676 2253],[4163 6397 1602 2327]
4,rbf,0.1,10.0,,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
5,poly,0.1,10.0,2.0,"[419, 637, 162, 231]","[429, 627, 199, 194]","[387, 669, 178, 215]","[546, 510, 227, 166]","[398, 658, 190, 203]","[344, 712, 130, 263]",[4164 6396 1728 2201],[4185 6375 1785 2144],[4239 6321 1635 2294],[3806 6754 1701 2228],[4566 5994 1698 2231]
6,poly,0.1,10.0,3.0,"[374, 682, 154, 239]","[399, 657, 159, 234]","[463, 593, 185, 208]","[425, 631, 203, 190]","[408, 648, 143, 250]","[426, 630, 164, 229]",[4235 6325 1686 2243],[4055 6505 1668 2261],[4219 6341 1738 2191],[4187 6373 1660 2269],[4055 6505 1650 2279]
7,linear,1.0,,,"[1013, 43, 315, 78]","[996, 60, 296, 97]","[998, 58, 316, 77]","[997, 59, 286, 107]","[1005, 51, 315, 78]","[1005, 51, 312, 81]",[9999  561 3081  848],[9979  581 3052  877],[10015   545  3099   830],[10004   556  3096   833],[9994  566 3062  867]
8,rbf,1.0,1.0,,"[1021, 35, 342, 51]","[1013, 43, 340, 53]","[1015, 41, 353, 40]","[1014, 42, 335, 58]","[1040, 16, 354, 39]","[1003, 53, 335, 58]",[10145   415  3453   476],[10140   420  3527   402],[10177   383  3547   382],[10128   432  3481   448],[10181   379  3531   398]
9,poly,1.0,1.0,2.0,"[466, 590, 172, 221]","[387, 669, 182, 211]","[545, 511, 199, 194]","[468, 588, 201, 192]","[634, 422, 174, 219]","[394, 662, 153, 240]",[4656 5904 1723 2206],[4540 6020 1679 2250],[4168 6392 1668 2261],[4092 6468 1752 2177],[3968 6592 1730 2199]
