,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[1013, 43, 315, 78]",0.7487749327075713,0.6026132669903541,0.21598371086790533,0.31796433516731576
1,rbf,0.1,1.0,,"[1056, 0, 393, 0]",0.7287873559251846,0.1,5.090353779587681e-05,0.00010175527855507505
2,poly,0.1,1.0,2.0,"[432, 624, 149, 244]",0.48785975567672024,0.266544098722178,0.5052176126240773,0.3487910931770732
3,poly,0.1,1.0,3.0,"[562, 494, 188, 205]",0.45318517496031474,0.2648362730156528,0.5724102825146347,0.362080312698487
4,rbf,0.1,10.0,,"[1056, 0, 393, 0]",0.7288287666505625,0.0,0.0,0.0
5,poly,0.1,10.0,2.0,"[419, 637, 162, 231]",0.44251501138794946,0.25865397547090313,0.5649274624586409,0.3547817158911014
6,poly,0.1,10.0,3.0,"[374, 682, 154, 239]",0.44163158257988816,0.25970366152173774,0.5723084754390431,0.35726935379716945
7,linear,1.0,,,"[1013, 43, 315, 78]",0.7487887362826973,0.6023454015247272,0.21659455332145586,0.3185908925207788
8,rbf,1.0,1.0,,"[1021, 35, 342, 51]",0.7298916419352613,0.5087892244669117,0.10720285059811659,0.17699239379744286
9,poly,1.0,1.0,2.0,"[466, 590, 172, 221]",0.44885085237076405,0.26146765846785364,0.5646729447696615,0.3573570870156508
10,poly,1.0,1.0,3.0,"[490, 566, 173, 220]",0.44660086962523293,0.2626381632895153,0.5753117841689998,0.36060916579813923
11,rbf,1.0,10.0,,"[1028, 28, 368, 25]",0.7224653185174961,0.4209977403750579,0.06271315856452023,0.10910542510933907
12,poly,1.0,10.0,2.0,"[472, 584, 171, 222]",0.4477879770860653,0.2631730571454927,0.5745991346398576,0.36093590293873395
13,poly,1.0,10.0,3.0,"[383, 673, 164, 229]",0.4451791013872593,0.26362013460979805,0.5831000254517689,0.3630206433030942
14,linear,10.0,,,"[1013, 43, 315, 78]",0.7488163434329491,0.6025439007242792,0.2165945533214558,0.3186143599845689
15,rbf,10.0,1.0,,"[979, 77, 315, 78]",0.7151080129753606,0.4389283376503602,0.18121659455332145,0.25644340591239956
16,poly,10.0,1.0,2.0,"[541, 515, 208, 185]",0.45205328179998616,0.26265546742271684,0.5642148129294986,0.3583171140505376
17,poly,10.0,1.0,3.0,"[422, 634, 150, 243]",0.44781558423631723,0.262796526000648,0.5737337744973275,0.3604448928626918
18,rbf,10.0,10.0,,"[1028, 28, 368, 25]",0.7224653185174961,0.4209977403750579,0.06271315856452023,0.10910542510933907
19,poly,10.0,10.0,2.0,"[321, 735, 175, 218]",0.4454413693146525,0.25787269734443574,0.5557139221175872,0.35216743420626884
20,poly,10.0,10.0,3.0,"[490, 566, 215, 178]",0.4295672579198012,0.26161472664365854,0.6057520997709341,0.365350466936348
21,linear,100.0,,,"[1009, 47, 318, 75]",0.7461798605838912,0.5840741815773001,0.2241282769152456,0.32349854380686777
22,rbf,100.0,1.0,,"[979, 77, 315, 78]",0.7151632272758646,0.4391620451157653,0.18126749809111734,0.2565338848718964
23,poly,100.0,1.0,2.0,"[507, 549, 201, 192]",0.4510180136655394,0.25858142652096705,0.548332909137185,0.3513885240448763
24,poly,100.0,1.0,3.0,"[327, 729, 141, 252]",0.45253640692939473,0.26255006354839727,0.5634003563247646,0.35810617930642447
25,rbf,100.0,10.0,,"[1028, 28, 368, 25]",0.7224653185174961,0.4209977403750579,0.06271315856452023,0.10910542510933907
26,poly,100.0,10.0,2.0,"[628, 428, 174, 219]",0.45467596107391817,0.26342109374618305,0.5620768643420717,0.35865881500540686
27,poly,100.0,10.0,3.0,"[313, 743, 119, 274]",0.3983159638346332,0.2644724903716588,0.6828200559938915,0.38052299565145165
28,linear,1000.0,,,"[631, 425, 166, 227]",0.6437849402995376,0.35465752333451667,0.3732247391193688,0.36014294617621245
29,rbf,1000.0,1.0,,"[981, 75, 315, 78]",0.7152460487266202,0.43950798837781957,0.18131840162891322,0.25664300798815864
30,poly,1000.0,1.0,2.0,"[416, 640, 129, 264]",0.46399337428393955,0.2683931617927529,0.5649783659964368,0.36382748598129216
31,poly,1000.0,1.0,3.0,"[565, 491, 175, 218]",0.4512940851680585,0.26447678590703794,0.5741919063374905,0.36206847537133885
32,rbf,1000.0,10.0,,"[1028, 28, 368, 25]",0.7224653185174961,0.4209977403750579,0.06271315856452023,0.10910542510933907
33,poly,1000.0,10.0,2.0,"[691, 365, 202, 191]",0.45411001449375393,0.2615221353053234,0.5542377195215067,0.3551419116354639
34,poly,1000.0,10.0,3.0,"[70, 986, 41, 352]",0.38641728207605774,0.26883517005927227,0.7335708831763806,0.3931964068681623
