,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[1012, 44, 312, 81]","[991, 65, 292, 101]","[1001, 55, 313, 80]","[992, 64, 287, 106]","[987, 69, 296, 97]","[1005, 51, 309, 84]",[9958  602 3036  893],[9976  584 3033  896],[9987  573 3051  878],[9968  592 3033  896],[9972  588 3031  898]
1,rbf,0.1,1.0,,50,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
2,poly,0.1,1.0,2.0,50,"[605, 451, 213, 180]","[662, 394, 239, 154]","[639, 417, 233, 160]","[680, 376, 243, 150]","[634, 422, 258, 135]","[660, 396, 242, 151]",[6470 4090 2353 1576],[6585 3975 2387 1542],[6563 3997 2357 1572],[6625 3935 2378 1551],[6627 3933 2353 1576]
3,poly,0.1,1.0,3.0,50,"[840, 216, 256, 137]","[802, 254, 246, 147]","[819, 237, 257, 136]","[821, 235, 245, 148]","[841, 215, 258, 135]","[820, 236, 256, 137]",[8245 2315 2539 1390],[8258 2302 2537 1392],[8218 2342 2557 1372],[8262 2298 2550 1379],[8237 2323 2540 1389]
4,rbf,0.1,10.0,,50,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
5,poly,0.1,10.0,2.0,50,"[636, 420, 215, 178]","[636, 420, 221, 172]","[646, 410, 223, 170]","[635, 421, 238, 155]","[637, 419, 257, 136]","[642, 414, 243, 150]",[6395 4165 2297 1632],[6336 4224 2266 1663],[6423 4137 2302 1627],[6241 4319 2239 1690],[6296 4264 2291 1638]
6,poly,0.1,10.0,3.0,50,"[832, 224, 252, 141]","[805, 251, 242, 151]","[815, 241, 256, 137]","[828, 228, 251, 142]","[854, 202, 257, 136]","[829, 227, 253, 140]",[8261 2299 2539 1390],[8252 2308 2555 1374],[8195 2365 2552 1377],[8276 2284 2539 1390],[8248 2312 2553 1376]
7,linear,1.0,,,50,"[1012, 44, 312, 81]","[991, 65, 292, 101]","[1000, 56, 313, 80]","[993, 63, 287, 106]","[987, 69, 296, 97]","[1006, 50, 308, 85]",[9960  600 3034  895],[9971  589 3030  899],[9986  574 3045  884],[9963  597 3030  899],[9967  593 3029  900]
8,rbf,1.0,1.0,,50,"[1055, 1, 393, 0]","[1054, 2, 390, 3]","[1054, 2, 392, 1]","[1054, 2, 391, 2]","[1056, 0, 392, 1]","[1056, 0, 393, 0]",[10546    14  3919    10],[10543    17  3916    13],[10543    17  3916    13],[10542    18  3916    13],[10543    17  3920     9]
9,poly,1.0,1.0,2.0,50,"[638, 418, 217, 176]","[656, 400, 228, 165]","[654, 402, 229, 164]","[621, 435, 243, 150]","[608, 448, 246, 147]","[634, 422, 242, 151]",[6366 4194 2310 1619],[6354 4206 2286 1643],[6386 4174 2300 1629],[6253 4307 2248 1681],[6267 4293 2297 1632]
10,poly,1.0,1.0,3.0,50,"[838, 218, 251, 142]","[809, 247, 243, 150]","[813, 243, 258, 135]","[822, 234, 243, 150]","[845, 211, 257, 136]","[823, 233, 260, 133]",[8250 2310 2532 1397],[8260 2300 2555 1374],[8193 2367 2582 1347],[8278 2282 2542 1387],[8231 2329 2544 1385]
11,rbf,1.0,10.0,,50,"[1055, 1, 393, 0]","[1054, 2, 390, 3]","[1054, 2, 392, 1]","[1055, 1, 391, 2]","[1056, 0, 392, 1]","[1056, 0, 393, 0]",[10547    13  3920     9],[10546    14  3918    11],[10544    16  3917    12],[10543    17  3919    10],[10545    15  3921     8]
12,poly,1.0,10.0,2.0,50,"[642, 414, 218, 175]","[665, 391, 229, 164]","[637, 419, 225, 168]","[617, 439, 243, 150]","[630, 426, 253, 140]","[642, 414, 242, 151]",[6405 4155 2316 1613],[6373 4187 2268 1661],[6379 4181 2288 1641],[6229 4331 2261 1668],[6300 4260 2313 1616]
13,poly,1.0,10.0,3.0,50,"[834, 222, 251, 142]","[797, 259, 245, 148]","[814, 242, 257, 136]","[824, 232, 245, 148]","[853, 203, 262, 131]","[829, 227, 254, 139]",[8265 2295 2535 1394],[8257 2303 2539 1390],[8209 2351 2556 1373],[8256 2304 2540 1389],[8231 2329 2568 1361]
14,linear,10.0,,,50,"[1013, 43, 310, 83]","[992, 64, 292, 101]","[1002, 54, 314, 79]","[990, 66, 286, 107]","[988, 68, 296, 97]","[1006, 50, 307, 86]",[9962  598 3034  895],[9966  594 3038  891],[9983  577 3048  881],[9961  599 3035  894],[9963  597 3031  898]
15,rbf,10.0,1.0,,50,"[1054, 2, 390, 3]","[1046, 10, 388, 5]","[1051, 5, 391, 2]","[1051, 5, 389, 4]","[1052, 4, 388, 5]","[1054, 2, 390, 3]",[10512    48  3889    40],[10508    52  3889    40],[10512    48  3893    36],[10511    49  3886    43],[10503    57  3893    36]
16,poly,10.0,1.0,2.0,50,"[638, 418, 223, 170]","[652, 404, 236, 157]","[661, 395, 234, 159]","[633, 423, 237, 156]","[626, 430, 254, 139]","[625, 431, 237, 156]",[6334 4226 2307 1622],[6397 4163 2280 1649],[6426 4134 2290 1639],[6237 4323 2245 1684],[6327 4233 2316 1613]
17,poly,10.0,1.0,3.0,50,"[836, 220, 250, 143]","[798, 258, 235, 158]","[824, 232, 263, 130]","[824, 232, 248, 145]","[845, 211, 253, 140]","[822, 234, 254, 139]",[8247 2313 2526 1403],[8271 2289 2561 1368],[8205 2355 2559 1370],[8272 2288 2537 1392],[8243 2317 2546 1383]
18,rbf,10.0,10.0,,50,"[1055, 1, 393, 0]","[1054, 2, 390, 3]","[1054, 2, 392, 1]","[1055, 1, 391, 2]","[1056, 0, 392, 1]","[1056, 0, 393, 0]",[10547    13  3920     9],[10546    14  3918    11],[10544    16  3917    12],[10543    17  3919    10],[10545    15  3921     8]
19,poly,10.0,10.0,2.0,50,"[649, 407, 221, 172]","[648, 408, 233, 160]","[650, 406, 233, 160]","[645, 411, 241, 152]","[620, 436, 254, 139]","[671, 385, 249, 144]",[6394 4166 2316 1613],[6352 4208 2252 1677],[6411 4149 2301 1628],[6303 4257 2262 1667],[6285 4275 2285 1644]
20,poly,10.0,10.0,3.0,50,"[833, 223, 252, 141]","[797, 259, 242, 151]","[816, 240, 258, 135]","[822, 234, 248, 145]","[854, 202, 264, 129]","[822, 234, 254, 139]",[8249 2311 2537 1392],[8249 2311 2539 1390],[8194 2366 2565 1364],[8300 2260 2558 1371],[8210 2350 2546 1383]
21,linear,100.0,,,50,"[1006, 50, 312, 81]","[993, 63, 294, 99]","[993, 63, 311, 82]","[1005, 51, 300, 93]","[990, 66, 293, 100]","[1004, 52, 302, 91]",[9969  591 3051  878],[9976  584 3070  859],[9986  574 3044  885],[9981  579 3066  863],[9940  620 3043  886]
22,rbf,100.0,1.0,,50,"[1054, 2, 390, 3]","[1046, 10, 388, 5]","[1051, 5, 391, 2]","[1051, 5, 389, 4]","[1052, 4, 388, 5]","[1054, 2, 390, 3]",[10512    48  3889    40],[10508    52  3889    40],[10512    48  3893    36],[10511    49  3886    43],[10503    57  3893    36]
23,poly,100.0,1.0,2.0,50,"[631, 425, 213, 180]","[657, 399, 234, 159]","[662, 394, 233, 160]","[631, 425, 241, 152]","[635, 421, 256, 137]","[649, 407, 240, 153]",[6376 4184 2315 1614],[6347 4213 2278 1651],[6392 4168 2274 1655],[6249 4311 2270 1659],[6306 4254 2282 1647]
24,poly,100.0,1.0,3.0,50,"[834, 222, 250, 143]","[805, 251, 248, 145]","[817, 239, 255, 138]","[820, 236, 245, 148]","[837, 219, 255, 138]","[828, 228, 259, 134]",[8240 2320 2538 1391],[8253 2307 2551 1378],[8197 2363 2579 1350],[8282 2278 2563 1366],[8238 2322 2534 1395]
25,rbf,100.0,10.0,,50,"[1055, 1, 393, 0]","[1054, 2, 390, 3]","[1054, 2, 392, 1]","[1055, 1, 391, 2]","[1056, 0, 392, 1]","[1056, 0, 393, 0]",[10547    13  3920     9],[10546    14  3918    11],[10544    16  3917    12],[10543    17  3919    10],[10545    15  3921     8]
26,poly,100.0,10.0,2.0,50,"[646, 410, 221, 172]","[635, 421, 230, 163]","[654, 402, 232, 161]","[646, 410, 242, 151]","[626, 430, 253, 140]","[638, 418, 242, 151]",[6311 4249 2310 1619],[6325 4235 2242 1687],[6474 4086 2310 1619],[6224 4336 2272 1657],[6310 4250 2288 1641]
27,poly,100.0,10.0,3.0,50,"[836, 220, 252, 141]","[797, 259, 245, 148]","[812, 244, 257, 136]","[827, 229, 247, 146]","[844, 212, 257, 136]","[829, 227, 254, 139]",[8246 2314 2530 1399],[8247 2313 2547 1382],[8198 2362 2550 1379],[8290 2270 2548 1381],[8222 2338 2540 1389]
28,linear,1000.0,,,50,"[990, 66, 287, 106]","[1002, 54, 300, 93]","[1017, 39, 350, 43]","[968, 88, 279, 114]","[1004, 52, 321, 72]","[1014, 42, 318, 75]",[9983  577 3118  811],[10069   491  3223   706],[10008   552  3155   774],[10089   471  3258   671],[9966  594 3123  806]
29,rbf,1000.0,1.0,,50,"[1054, 2, 390, 3]","[1046, 10, 388, 5]","[1051, 5, 391, 2]","[1051, 5, 389, 4]","[1052, 4, 388, 5]","[1054, 2, 390, 3]",[10512    48  3889    40],[10508    52  3889    40],[10512    48  3893    36],[10511    49  3886    43],[10503    57  3893    36]
30,poly,1000.0,1.0,2.0,50,"[651, 405, 216, 177]","[666, 390, 232, 161]","[639, 417, 231, 162]","[634, 422, 241, 152]","[598, 458, 247, 146]","[623, 433, 246, 147]",[6359 4201 2310 1619],[6320 4240 2271 1658],[6396 4164 2265 1664],[6249 4311 2244 1685],[6329 4231 2274 1655]
31,poly,1000.0,1.0,3.0,50,"[838, 218, 254, 139]","[809, 247, 245, 148]","[808, 248, 260, 133]","[820, 236, 247, 146]","[848, 208, 257, 136]","[830, 226, 253, 140]",[8260 2300 2536 1393],[8271 2289 2563 1366],[8226 2334 2564 1365],[8292 2268 2560 1369],[8238 2322 2544 1385]
