,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1014, 42, 327, 66]","[1005, 51, 306, 87]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1055, 1, 392, 1]","[1009, 47, 319, 74]",[10094   466  3253   676],[10042   518  3172   757],[10038   522  3175   754],[10088   472  3256   673],[10039   521  3171   758]
1,rbf,0.1,1.0,,"[1030, 26, 344, 49]","[1013, 43, 319, 74]","[1012, 44, 349, 44]","[1015, 41, 315, 78]","[994, 62, 332, 61]","[1018, 38, 329, 64]",[10121   439  3304   625],[10123   437  3283   646],[10149   411  3302   627],[10129   431  3326   603],[10144   416  3297   632]
2,poly,0.1,1.0,2.0,"[1026, 30, 340, 53]","[1015, 41, 319, 74]","[1015, 41, 349, 44]","[1013, 43, 317, 76]","[1056, 0, 393, 0]","[1018, 38, 329, 64]",[10151   409  3345   584],[10148   412  3286   643],[10153   407  3301   628],[10182   378  3366   563],[10153   407  3303   626]
3,poly,0.1,1.0,3.0,"[1027, 29, 339, 54]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[1055, 1, 392, 1]","[1017, 39, 327, 66]",[10142   418  3321   608],[10090   470  3243   686],[10093   467  3242   687],[10134   426  3325   604],[10105   455  3243   686]
4,rbf,0.1,10.0,,"[1030, 26, 344, 49]","[1015, 41, 322, 71]","[1008, 48, 339, 54]","[1016, 40, 317, 76]","[1009, 47, 350, 43]","[1018, 38, 329, 64]",[10140   420  3316   613],[10094   466  3256   673],[10110   450  3267   662],[10100   460  3298   631],[10130   430  3284   645]
5,poly,0.1,10.0,2.0,"[1023, 33, 335, 58]","[1015, 41, 319, 74]","[1011, 45, 338, 55]","[1013, 43, 317, 76]","[881, 175, 289, 104]","[1018, 38, 329, 64]",[9947  613 3217  712],[10122   438  3271   658],[10137   423  3277   652],[9723  837 3117  812],[10144   416  3278   651]
6,poly,0.1,10.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[268, 788, 64, 329]","[1017, 39, 328, 65]",[9291 1269 2944  985],[10017   543  3192   737],[10037   523  3214   715],[9334 1226 2987  942],[10051   509  3201   728]
7,linear,1.0,,,"[1014, 42, 327, 66]","[1005, 51, 306, 87]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1055, 1, 392, 1]","[1009, 47, 319, 74]",[10094   466  3253   676],[10042   518  3172   757],[10038   522  3175   754],[10088   472  3256   673],[10039   521  3168   761]
8,rbf,1.0,1.0,,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10005   555  3199   730],[10024   536  3200   729],[10034   526  3211   718],[10067   493  3268   661],[10072   488  3225   704]
9,poly,1.0,1.0,2.0,"[1023, 33, 335, 58]","[1015, 41, 319, 74]","[1011, 45, 338, 55]","[1013, 43, 317, 76]","[1056, 0, 393, 0]","[1018, 38, 329, 64]",[10122   438  3321   608],[10122   438  3271   658],[10137   423  3277   652],[10166   394  3354   575],[10144   416  3278   651]
10,poly,1.0,1.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[1006, 50, 349, 44]","[1017, 39, 328, 65]",[10042   518  3236   693],[10017   543  3192   737],[10048   512  3217   712],[10057   503  3260   669],[10063   497  3216   713]
11,rbf,1.0,10.0,,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1017, 39, 328, 65]",[10042   518  3224   705],[10018   542  3194   735],[10039   521  3216   713],[10062   498  3264   665],[10053   507  3209   720]
12,poly,1.0,10.0,2.0,"[1011, 45, 323, 70]","[1013, 43, 319, 74]","[1008, 48, 339, 54]","[1013, 43, 314, 79]","[30, 1026, 20, 373]","[905, 151, 291, 102]",[8928 1632 2855 1074],[9752  808 3111  818],[10012   548  3193   736],[9514 1046 3045  884],[10054   506  3212   717]
13,poly,1.0,10.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[954, 102, 363, 30]","[1017, 39, 328, 65]",[9977  583 3243  686],[10017   543  3192   737],[10037   523  3214   715],[10024   536  3246   683],[10051   509  3201   728]
14,linear,10.0,,,"[1014, 42, 327, 66]","[1005, 51, 306, 87]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1055, 1, 392, 1]","[1009, 47, 319, 74]",[10094   466  3253   676],[10042   518  3172   757],[10038   522  3175   754],[10088   472  3256   673],[10037   523  3166   763]
15,rbf,10.0,1.0,,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1017, 39, 328, 65]",[10004   556  3199   730],[10018   542  3193   736],[10034   526  3212   717],[10056   504  3259   670],[10052   508  3205   724]
16,poly,10.0,1.0,2.0,"[1023, 33, 335, 58]","[1015, 41, 319, 74]","[1011, 45, 338, 55]","[1013, 43, 317, 76]","[897, 159, 296, 97]","[1018, 38, 329, 64]",[9963  597 3224  705],[10122   438  3271   658],[10137   423  3277   652],[9285 1275 3008  921],[10144   416  3278   651]
