,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[1014, 42, 327, 66]",0.7442749672165091,0.5914003946094752,0.18416899974548234,0.2807260261966233
1,rbf,0.1,1.0,,"[1030, 26, 344, 49]",0.7426185382013941,0.5948338135997547,0.15948078391448203,0.2515129066974777
2,poly,0.1,1.0,2.0,"[1026, 30, 340, 53]",0.7430602526054247,0.60173207860653,0.15495036905064902,0.24637569229246004
3,poly,0.1,1.0,3.0,"[1027, 29, 339, 54]",0.7431154669059287,0.5937947165802115,0.16650547213031305,0.25994872016921483
4,rbf,0.1,10.0,,"[1030, 26, 344, 49]",0.7426047346262682,0.591595725032134,0.1641130058539068,0.2569000564012571
5,poly,0.1,10.0,2.0,"[1023, 33, 335, 58]",0.7392918765960383,0.569355313434861,0.17739882921863068,0.2690531869878505
6,poly,0.1,10.0,3.0,"[1009, 47, 321, 72]",0.7293394989302229,0.5226698046427789,0.20906082972766607,0.2938381847077587
7,linear,1.0,,,"[1014, 42, 327, 66]",0.7443163779418869,0.5915910417975208,0.18432171035886996,0.2809227918120752
8,rbf,1.0,1.0,,"[1009, 47, 321, 72]",0.7418593415694665,0.5769885419347393,0.18030033087299566,0.2746695973844228
9,poly,1.0,1.0,2.0,"[1023, 33, 335, 58]",0.7431154669059286,0.5983311262922744,0.16004072283023668,0.25246047629404067
10,poly,1.0,1.0,3.0,"[1009, 47, 321, 72]",0.7419559665953482,0.5779620485280876,0.17938406719266992,0.27375057282350873
11,rbf,1.0,10.0,,"[1009, 47, 321, 72]",0.7419697701704743,0.5776818029254519,0.18009671672181216,0.27454458655264685
12,poly,1.0,10.0,2.0,"[1011, 45, 323, 70]",0.7245358547863896,0.5034947831427028,0.21527106133876303,0.2961429378720468
13,poly,1.0,10.0,3.0,"[1009, 47, 321, 72]",0.7406308233832564,0.5685449502495821,0.18065665563756683,0.2741728747737045
14,linear,10.0,,,"[1014, 42, 327, 66]",0.7443163779418869,0.591532812407692,0.18442351743446173,0.2810313901694478
15,rbf,10.0,1.0,,"[1009, 47, 321, 72]",0.7418179308440886,0.5757485060630251,0.18208195469585137,0.27661532302413283
16,poly,10.0,1.0,2.0,"[1023, 33, 335, 58]",0.7348747325557319,0.5555743979636585,0.18259099007381013,0.27067443729245044
17,poly,10.0,1.0,3.0,"[1009, 47, 321, 72]",0.7329146248878461,0.5439847125747115,0.1949605497582082,0.2821888871368271
18,rbf,10.0,10.0,,"[1009, 47, 321, 72]",0.7419697701704743,0.5776818029254519,0.18009671672181216,0.27454458655264685
19,poly,10.0,10.0,2.0,"[978, 78, 290, 103]",0.7272137483608254,0.5083629985677607,0.20295240519216087,0.2865499971024611
20,poly,10.0,10.0,3.0,"[1009, 47, 321, 72]",0.7252812478431914,0.5132773681950262,0.21399847289386612,0.2951120714124771
21,linear,100.0,,,"[1014, 42, 327, 66]",0.7443163779418869,0.591532812407692,0.18442351743446173,0.2810313901694478
22,rbf,100.0,1.0,,"[1009, 47, 321, 72]",0.7418179308440886,0.5757485060630251,0.18208195469585137,0.27661532302413283
23,poly,100.0,1.0,2.0,"[1012, 44, 324, 69]",0.7246738905376493,0.5071636026243226,0.21547467548994653,0.29636353333570187
24,poly,100.0,1.0,3.0,"[1009, 47, 321, 72]",0.7331492856649872,0.5458078265262015,0.19485874268261644,0.281776839538921
25,rbf,100.0,10.0,,"[1009, 47, 321, 72]",0.7419697701704743,0.5776818029254519,0.18009671672181216,0.27454458655264685
26,poly,100.0,10.0,2.0,"[892, 164, 293, 100]",0.7236800331285802,0.49560027697739295,0.21343853397811147,0.29314945811902693
27,poly,100.0,10.0,3.0,"[1009, 47, 321, 72]",0.7337704465456554,0.5450014006099486,0.19506235683379997,0.2830047505222839
28,linear,1000.0,,,"[1009, 47, 325, 68]",0.7417213058182069,0.5625446745243778,0.21420208704504962,0.3100101557697744
29,rbf,1000.0,1.0,,"[1009, 47, 321, 72]",0.7418179308440886,0.5757485060630251,0.18208195469585137,0.27661532302413283
30,poly,1000.0,1.0,2.0,"[875, 181, 271, 122]",0.7235005866519428,0.4957516508042993,0.22239755663018582,0.30193471069553524
31,poly,1000.0,1.0,3.0,"[1009, 47, 321, 72]",0.7255849264959625,0.5138648298735374,0.21328582336472385,0.2947583458879138
32,rbf,1000.0,10.0,,"[1009, 47, 321, 72]",0.7419697701704743,0.5776818029254519,0.18009671672181216,0.27454458655264685
33,poly,1000.0,10.0,2.0,"[981, 75, 291, 102]",0.7256263372213404,0.5095194928102226,0.22387375922626623,0.3042342405593406
34,poly,1000.0,10.0,3.0,"[1009, 47, 321, 72]",0.7341293394989302,0.548202988909203,0.1953677780605752,0.28301493606193157
