,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[1014, 42, 327, 66]","[1005, 51, 306, 87]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1055, 1, 392, 1]","[1009, 47, 319, 74]",[10094   466  3253   676],[10041   519  3173   756],[10038   522  3175   754],[10088   472  3257   672],[10039   521  3168   761]
1,rbf,0.1,1.0,,50,"[1030, 26, 344, 49]","[1013, 43, 319, 74]","[1012, 44, 349, 44]","[1015, 41, 315, 78]","[1005, 51, 338, 55]","[1018, 38, 329, 64]",[10105   455  3298   631],[10119   441  3277   652],[10133   427  3292   637],[10129   431  3326   603],[10141   419  3293   636]
2,poly,0.1,1.0,2.0,50,"[1026, 30, 340, 53]","[1015, 41, 319, 74]","[1015, 41, 348, 45]","[1013, 43, 317, 76]","[1056, 0, 393, 0]","[1018, 38, 329, 64]",[10152   408  3345   584],[10101   459  3252   677],[10144   416  3283   646],[10182   378  3355   574],[10118   442  3269   660]
3,poly,0.1,1.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 306, 87]","[1008, 48, 338, 55]","[1004, 52, 306, 87]","[1055, 1, 392, 1]","[1017, 39, 327, 66]",[10113   447  3294   635],[10108   452  3253   676],[10079   481  3231   698],[10091   469  3284   645],[10081   479  3222   707]
4,rbf,0.1,10.0,,50,"[1030, 26, 344, 49]","[1002, 54, 311, 82]","[1008, 48, 339, 54]","[1016, 40, 317, 76]","[1009, 47, 350, 43]","[1019, 37, 330, 63]",[10128   432  3305   624],[10090   470  3254   675],[10124   436  3280   649],[10106   454  3301   628],[10097   463  3265   664]
5,poly,0.1,10.0,2.0,50,"[1023, 33, 335, 58]","[1015, 41, 319, 74]","[1011, 45, 338, 55]","[1013, 43, 317, 76]","[1055, 1, 392, 1]","[1018, 38, 329, 64]",[10128   432  3320   609],[10024   536  3208   721],[10140   420  3278   651],[10095   465  3317   612],[10092   468  3253   676]
6,poly,0.1,10.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[1034, 22, 387, 6]","[1011, 45, 320, 73]",[10055   505  3260   669],[10013   547  3189   740],[10045   515  3213   716],[9561  999 3048  881],[10044   516  3198   731]
7,linear,1.0,,,50,"[1014, 42, 327, 66]","[1005, 51, 306, 87]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1055, 1, 392, 1]","[1009, 47, 319, 74]",[10094   466  3253   676],[10041   519  3173   756],[10038   522  3174   755],[10088   472  3257   672],[10039   521  3168   761]
8,rbf,1.0,1.0,,50,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 320, 73]",[10012   548  3203   726],[10040   520  3215   714],[10044   516  3210   719],[10062   498  3263   666],[10044   516  3199   730]
9,poly,1.0,1.0,2.0,50,"[1023, 33, 335, 58]","[1015, 41, 319, 74]","[1011, 45, 338, 55]","[1013, 43, 317, 76]","[1056, 0, 393, 0]","[1018, 38, 329, 64]",[10129   431  3321   608],[10024   536  3208   721],[10140   420  3278   651],[10165   395  3351   578],[10092   468  3253   676]
10,poly,1.0,1.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[1053, 3, 392, 1]","[1011, 45, 320, 73]",[10075   485  3264   665],[10006   554  3176   753],[10043   517  3211   718],[10083   477  3274   655],[10058   502  3209   720]
11,rbf,1.0,10.0,,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1006, 50, 307, 86]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10044   516  3218   711],[10032   528  3206   723],[10046   514  3213   716],[10056   504  3252   677],[10044   516  3199   730]
12,poly,1.0,10.0,2.0,50,"[1006, 50, 318, 75]","[1000, 56, 306, 87]","[1008, 48, 338, 55]","[1004, 52, 306, 87]","[157, 899, 67, 326]","[1018, 38, 328, 65]",[9188 1372 2951  978],[9968  592 3155  774],[10055   505  3221   708],[9549 1011 3069  860],[10037   523  3196   733]
13,poly,1.0,10.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[362, 694, 93, 300]","[1011, 45, 320, 73]",[9383 1177 2965  964],[10015   545  3189   740],[10043   517  3211   718],[9399 1161 2990  939],[10043   517  3197   732]
14,linear,10.0,,,50,"[1014, 42, 327, 66]","[1005, 51, 306, 87]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1055, 1, 392, 1]","[1009, 47, 319, 74]",[10094   466  3253   676],[10041   519  3173   756],[10035   525  3172   757],[10088   472  3257   672],[10039   521  3168   761]
15,rbf,10.0,1.0,,50,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10004   556  3194   735],[10023   537  3199   730],[10041   519  3209   720],[10055   505  3252   677],[10044   516  3197   732]
16,poly,10.0,1.0,2.0,50,"[1023, 33, 335, 58]","[1015, 41, 319, 74]","[1011, 45, 338, 55]","[1013, 43, 317, 76]","[1050, 6, 391, 2]","[1018, 38, 329, 64]",[10123   437  3319   610],[10024   536  3208   721],[10140   420  3278   651],[10152   408  3344   585],[10092   468  3253   676]
17,poly,10.0,1.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[485, 571, 135, 258]","[1011, 45, 320, 73]",[9507 1053 3007  922],[10006   554  3176   753],[10043   517  3211   718],[9551 1009 3046  883],[10058   502  3209   720]
18,rbf,10.0,10.0,,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1006, 50, 307, 86]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10044   516  3218   711],[10032   528  3206   723],[10046   514  3213   716],[10056   504  3252   677],[10044   516  3199   730]
19,poly,10.0,10.0,2.0,50,"[1006, 50, 318, 75]","[967, 89, 283, 110]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[122, 934, 40, 353]","[1012, 44, 322, 71]",[9080 1480 2866 1063],[9965  595 3146  783],[10013   547  3187   742],[9223 1337 2949  980],[10022   538  3193   736]
20,poly,10.0,10.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[620, 436, 188, 205]","[1011, 45, 320, 73]",[9641  919 3060  869],[10004   556  3176   753],[10045   515  3213   716],[9516 1044 3036  893],[10043   517  3197   732]
21,linear,100.0,,,50,"[1014, 42, 327, 66]","[1005, 51, 306, 87]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1055, 1, 392, 1]","[1009, 47, 319, 74]",[10094   466  3253   676],[10041   519  3173   756],[10035   525  3173   756],[10088   472  3257   672],[10039   521  3168   761]
22,rbf,100.0,1.0,,50,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10004   556  3194   735],[10023   537  3199   730],[10041   519  3209   720],[10055   505  3252   677],[10044   516  3197   732]
23,poly,100.0,1.0,2.0,50,"[1007, 49, 320, 73]","[1000, 56, 306, 87]","[1008, 48, 338, 55]","[1004, 52, 306, 87]","[321, 735, 113, 280]","[1018, 38, 328, 65]",[9348 1212 2991  938],[9980  580 3167  762],[10034   526  3205   724],[9967  593 3223  706],[10009   551  3171   758]
24,poly,100.0,1.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[650, 406, 195, 198]","[1011, 45, 321, 72]",[9671  889 3068  861],[10013   547  3189   740],[10043   517  3211   718],[9896  664 3160  769],[10043   517  3197   732]
25,rbf,100.0,10.0,,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1006, 50, 307, 86]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10044   516  3218   711],[10032   528  3206   723],[10046   514  3213   716],[10056   504  3252   677],[10044   516  3199   730]
26,poly,100.0,10.0,2.0,50,"[1009, 47, 323, 70]","[967, 89, 283, 110]","[1008, 48, 339, 54]","[1006, 50, 307, 86]","[1048, 8, 391, 2]","[1018, 38, 328, 65]",[10016   544  3229   700],[9941  619 3127  802],[9976  584 3156  773],[9087 1473 2908 1021],[9940  620 3129  800]
27,poly,100.0,10.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[893, 163, 271, 122]","[1011, 45, 321, 72]",[9914  646 3145  784],[10013   547  3189   740],[10043   517  3211   718],[9500 1060 3024  905],[10043   517  3197   732]
28,linear,1000.0,,,50,"[1009, 47, 325, 68]","[1005, 51, 308, 85]","[997, 59, 328, 65]","[1010, 46, 307, 86]","[1022, 34, 351, 42]","[1013, 43, 322, 71]",[10064   496  3222   707],[10050   510  3196   733],[10042   518  3187   742],[10090   470  3264   665],[10039   521  3177   752]
29,rbf,1000.0,1.0,,50,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10004   556  3194   735],[10023   537  3199   730],[10041   519  3209   720],[10055   505  3252   677],[10044   516  3197   732]
30,poly,1000.0,1.0,2.0,50,"[1009, 47, 323, 70]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1013, 43, 314, 79]","[228, 828, 84, 309]","[1018, 38, 328, 65]",[9240 1320 2954  975],[9991  569 3169  760],[9971  589 3158  771],[10092   468  3305   624],[9983  577 3148  781]
31,poly,1000.0,1.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[1036, 20, 387, 6]","[1011, 45, 320, 73]",[10057   503  3259   670],[10013   547  3189   740],[10043   517  3211   718],[9687  873 3090  839],[10044   516  3197   732]
32,rbf,1000.0,10.0,,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1006, 50, 307, 86]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[10044   516  3218   711],[10032   528  3206   723],[10046   514  3213   716],[10056   504  3252   677],[10044   516  3199   730]
33,poly,1000.0,10.0,2.0,50,"[1006, 50, 318, 75]","[967, 89, 281, 112]","[1001, 55, 330, 63]","[1015, 41, 315, 78]","[1050, 6, 392, 1]","[1018, 38, 329, 64]",[10017   543  3223   706],[9973  587 3166  763],[10060   500  3231   698],[9112 1448 2918 1011],[9951  609 3130  799]
34,poly,1000.0,10.0,3.0,50,"[1020, 36, 331, 62]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[348, 708, 90, 303]","[1011, 45, 320, 73]",[9369 1191 2962  967],[10013   547  3189   740],[10043   517  3211   718],[9857  703 3127  802],[10043   517  3198   731]
