,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[1014, 42, 327, 66]",0.7442749672165091,0.5913621113821018,0.18421990328327817,0.28077753732098054
1,rbf,0.1,1.0,,50,"[1030, 26, 344, 49]",0.7424390917247566,0.5924509194516504,0.16080427589717486,0.25293493437654146
2,poly,0.1,1.0,2.0,50,"[1026, 30, 340, 53]",0.7431568776313064,0.5989597762499488,0.15988801221684906,0.2522223719434966
3,poly,0.1,1.0,3.0,50,"[1020, 36, 331, 62]",0.7430878597556767,0.5906620215170115,0.17108679053194198,0.2652666715620636
4,rbf,0.1,10.0,,50,"[1030, 26, 344, 49]",0.7424252881496308,0.589633375658099,0.16492746245864087,0.2577190564018562
5,poly,0.1,10.0,2.0,50,"[1023, 33, 335, 58]",0.7419145558699703,0.585119934090174,0.1664036650547213,0.25890845782285277
6,poly,0.1,10.0,3.0,50,"[1020, 36, 331, 62]",0.7378701083580648,0.556258422631212,0.19022652074319163,0.28184806892468683
7,linear,1.0,,,50,"[1014, 42, 327, 66]",0.744288770791635,0.591426182002163,0.18427080682107405,0.2808432414538383
8,rbf,1.0,1.0,,50,"[1009, 47, 321, 72]",0.742038788046104,0.5777381708356571,0.18096207686434207,0.2755560998104527
9,poly,1.0,1.0,2.0,50,"[1023, 33, 335, 58]",0.7424114845745049,0.590311449234879,0.16462204123186563,0.25711077870974475
10,poly,1.0,1.0,3.0,50,"[1020, 36, 331, 62]",0.742301055973497,0.5807171741111398,0.1787223212013235,0.27319304280433204
11,rbf,1.0,10.0,,50,"[1020, 36, 331, 62]",0.742342466698875,0.579726277492064,0.18106388393993383,0.27592303839465193
12,poly,1.0,10.0,2.0,50,"[1006, 50, 318, 75]",0.7295189454068604,0.5219421766017764,0.20631203868668874,0.2917070940838873
13,poly,1.0,10.0,3.0,50,"[1020, 36, 331, 62]",0.7312581958727311,0.5281441212261868,0.2083481801985238,0.2947573891305609
14,linear,10.0,,,50,"[1014, 42, 327, 66]",0.7442749672165091,0.5912770170692384,0.1843726138966658,0.2809411017604255
15,rbf,10.0,1.0,,50,"[1009, 47, 321, 72]",0.7420940023466078,0.5771801142672368,0.18294731483838128,0.2777880804872443
16,poly,10.0,1.0,2.0,50,"[1023, 33, 335, 58]",0.7422734488232452,0.588816200781075,0.1650801730720285,0.2575700744087113
17,poly,10.0,1.0,3.0,50,"[1020, 36, 331, 62]",0.7338118572710332,0.5360480877299324,0.20341053703232373,0.2921950876248155
18,rbf,10.0,10.0,,50,"[1020, 36, 331, 62]",0.742342466698875,0.579726277492064,0.18106388393993383,0.27592303839465193
19,poly,10.0,10.0,2.0,50,"[1006, 50, 318, 75]",0.7261646766512527,0.5125067581190687,0.2190888266734538,0.30093772441665434
20,poly,10.0,10.0,3.0,50,"[1020, 36, 331, 62]",0.7345158396024569,0.5379996349813942,0.20173072028505984,0.2912480717696647
21,linear,100.0,,,50,"[1014, 42, 327, 66]",0.7442611636413832,0.5912130800855295,0.18432171035886996,0.28087547946652563
22,rbf,100.0,1.0,,50,"[1009, 47, 321, 72]",0.7420940023466078,0.5771801142672368,0.18294731483838128,0.2777880804872443
23,poly,100.0,1.0,2.0,50,"[1007, 49, 320, 73]",0.7347090896542204,0.5411702593382822,0.19791295495036904,0.2873661694087276
24,poly,100.0,1.0,3.0,50,"[1020, 36, 331, 62]",0.7382980191869695,0.5542124750718659,0.19445151438024944,0.2869223311735197
25,rbf,100.0,10.0,,50,"[1020, 36, 331, 62]",0.742342466698875,0.579726277492064,0.18106388393993383,0.27592303839465193
26,poly,100.0,10.0,2.0,50,"[1009, 47, 323, 70]",0.7323624818828076,0.5338987894946859,0.20850089081191142,0.29599221242791274
27,poly,100.0,10.0,3.0,50,"[1020, 36, 331, 62]",0.7370004831251294,0.5502474985945346,0.19745482311020615,0.2888479691576059
28,linear,1000.0,,,50,"[1009, 47, 325, 68]",0.7437918420871006,0.5885844573002033,0.18320183252736066,0.2793445693413722
29,rbf,1000.0,1.0,,50,"[1009, 47, 321, 72]",0.7420940023466078,0.5771801142672368,0.18294731483838128,0.2777880804872443
30,poly,1000.0,1.0,2.0,50,"[1009, 47, 323, 70]",0.734184553799434,0.542029186850246,0.1990837363196742,0.2875865708551509
31,poly,1000.0,1.0,3.0,50,"[1020, 36, 331, 62]",0.739084822969149,0.5608301287866059,0.18829218630694833,0.28094353792243976
32,rbf,1000.0,10.0,,50,"[1020, 36, 331, 62]",0.742342466698875,0.579726277492064,0.18106388393993383,0.27592303839465193
33,poly,1000.0,10.0,2.0,50,"[1006, 50, 318, 75]",0.7328318034370901,0.538337889671308,0.20244336981420208,0.2899992380850991
34,poly,1000.0,10.0,3.0,50,"[1020, 36, 331, 62]",0.7354958934364,0.5446169461626578,0.20147620259608043,0.29142581670640705
