,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[1010, 46, 311, 82]","[1011, 45, 304, 89]","[1000, 56, 318, 75]","[991, 65, 295, 98]","[981, 75, 297, 96]","[1012, 44, 314, 79]",[9996  564 3110  819],[10015   545  3104   825],[10006   554  3102   827],[10002   558  3117   812],[9988  572 3092  837]
1,3,75,"[1010, 46, 311, 82]","[1002, 54, 297, 96]","[997, 59, 316, 77]","[994, 62, 287, 106]","[979, 77, 295, 98]","[1007, 49, 314, 79]",[9968  592 3081  848],[9979  581 3077  852],[9984  576 3080  849],[9980  580 3093  836],[9959  601 3068  861]
2,3,100,"[1007, 49, 307, 86]","[1000, 56, 296, 97]","[997, 59, 315, 78]","[994, 62, 286, 107]","[980, 76, 296, 97]","[1007, 49, 313, 80]",[9954  606 3065  864],[9973  587 3068  861],[9950  610 3055  874],[9972  588 3085  844],[9947  613 3057  872]
3,3,125,"[1006, 50, 307, 86]","[1000, 56, 296, 97]","[996, 60, 314, 79]","[995, 61, 288, 105]","[980, 76, 296, 97]","[1004, 52, 309, 84]",[9947  613 3057  872],[9947  613 3052  877],[9953  607 3052  877],[9955  605 3074  855],[9948  612 3053  876]
4,3,150,"[1007, 49, 307, 86]","[999, 57, 296, 97]","[997, 59, 314, 79]","[994, 62, 287, 106]","[980, 76, 296, 97]","[1004, 52, 310, 83]",[9950  610 3058  871],[9947  613 3053  876],[9945  615 3047  882],[9950  610 3066  863],[9944  616 3052  877]
5,4,50,"[1012, 44, 311, 82]","[1010, 46, 304, 89]","[998, 58, 316, 77]","[995, 61, 294, 99]","[980, 76, 296, 97]","[1007, 49, 310, 83]",[9985  575 3097  832],[9984  576 3090  839],[9997  563 3082  847],[9965  595 3085  844],[9983  577 3089  840]
6,4,75,"[1007, 49, 302, 91]","[1002, 54, 297, 96]","[997, 59, 316, 77]","[995, 61, 290, 103]","[981, 75, 295, 98]","[1004, 52, 307, 86]",[9950  610 3050  879],[9960  600 3063  866],[9970  590 3053  876],[9959  601 3072  857],[9954  606 3063  866]
7,4,100,"[1004, 52, 302, 91]","[1000, 56, 297, 96]","[996, 60, 313, 80]","[994, 62, 288, 105]","[980, 76, 295, 98]","[1004, 52, 307, 86]",[9938  622 3045  884],[9950  610 3053  876],[9960  600 3048  881],[9953  607 3059  870],[9933  627 3048  881]
8,4,125,"[1004, 52, 302, 91]","[999, 57, 298, 95]","[996, 60, 313, 80]","[993, 63, 286, 107]","[980, 76, 295, 98]","[1004, 52, 307, 86]",[9933  627 3042  887],[9944  616 3051  878],[9953  607 3046  883],[9949  611 3054  875],[9930  630 3043  886]
9,4,150,"[1007, 49, 302, 91]","[998, 58, 299, 94]","[996, 60, 313, 80]","[990, 66, 288, 105]","[985, 71, 303, 90]","[1007, 49, 308, 85]",[9937  623 3050  879],[9937  623 3042  887],[9947  613 3037  892],[9948  612 3049  880],[9927  633 3039  890]
10,5,50,"[1013, 43, 311, 82]","[991, 65, 295, 98]","[996, 60, 304, 89]","[991, 65, 294, 99]","[978, 78, 291, 102]","[1004, 52, 307, 86]",[9949  611 3054  875],[9983  577 3055  874],[9974  586 3057  872],[9954  606 3054  875],[9962  598 3062  867]
11,5,75,"[1007, 49, 302, 91]","[989, 67, 295, 98]","[995, 61, 311, 82]","[995, 61, 293, 100]","[986, 70, 295, 98]","[1006, 50, 308, 85]",[9946  614 3052  877],[9972  588 3043  886],[9965  595 3051  878],[9949  611 3043  886],[9942  618 3043  886]
12,5,100,"[1006, 50, 302, 91]","[990, 66, 297, 96]","[994, 62, 311, 82]","[988, 68, 294, 99]","[986, 70, 295, 98]","[1006, 50, 308, 85]",[9932  628 3050  879],[9961  599 3038  891],[9950  610 3047  882],[9960  600 3047  882],[9930  630 3041  888]
13,5,125,"[1007, 49, 302, 91]","[991, 65, 298, 95]","[996, 60, 312, 81]","[982, 74, 294, 99]","[984, 72, 294, 99]","[1004, 52, 308, 85]",[9928  632 3047  882],[9952  608 3039  890],[9944  616 3039  890],[9962  598 3046  883],[9925  635 3035  894]
14,5,150,"[1006, 50, 301, 92]","[991, 65, 297, 96]","[994, 62, 302, 91]","[984, 72, 294, 99]","[981, 75, 294, 99]","[1005, 51, 308, 85]",[9919  641 3032  897],[9951  609 3044  885],[9936  624 3039  890],[9961  599 3046  883],[9920  640 3034  895]
15,6,50,"[1008, 48, 303, 90]","[990, 66, 295, 98]","[998, 58, 306, 87]","[989, 67, 291, 102]","[987, 69, 296, 97]","[1005, 51, 308, 85]",[9943  617 3040  889],[9971  589 3050  879],[9961  599 3058  871],[9948  612 3053  876],[9927  633 3049  880]
16,6,75,"[1008, 48, 302, 91]","[990, 66, 295, 98]","[990, 66, 301, 92]","[982, 74, 293, 100]","[982, 74, 295, 98]","[1003, 53, 307, 86]",[9917  643 3030  899],[9959  601 3039  890],[9939  621 3036  893],[9943  617 3046  883],[9917  643 3042  887]
17,6,100,"[1006, 50, 301, 92]","[989, 67, 296, 97]","[994, 62, 306, 87]","[981, 75, 289, 104]","[981, 75, 294, 99]","[1003, 53, 307, 86]",[9916  644 3029  900],[9942  618 3025  904],[9934  626 3035  894],[9933  627 3039  890],[9914  646 3044  885]
18,6,125,"[1005, 51, 299, 94]","[992, 64, 298, 95]","[994, 62, 305, 88]","[980, 76, 288, 105]","[978, 78, 292, 101]","[1003, 53, 306, 87]",[9912  648 3023  906],[9934  626 3026  903],[9914  646 3028  901],[9928  632 3028  901],[9903  657 3037  892]
19,6,150,"[1005, 51, 300, 93]","[982, 74, 297, 96]","[994, 62, 304, 89]","[980, 76, 286, 107]","[978, 78, 292, 101]","[1002, 54, 306, 87]",[9888  672 3018  911],[9935  625 3030  899],[9916  644 3025  904],[9934  626 3026  903],[9902  658 3032  897]
20,7,50,"[1003, 53, 303, 90]","[990, 66, 298, 95]","[995, 61, 304, 89]","[986, 70, 292, 101]","[978, 78, 293, 100]","[999, 57, 307, 86]",[9905  655 3029  900],[9942  618 3048  881],[9929  631 3036  893],[9923  637 3034  895],[9903  657 3041  888]
21,7,75,"[1003, 53, 303, 90]","[988, 68, 298, 95]","[995, 61, 304, 89]","[981, 75, 292, 101]","[978, 78, 293, 100]","[999, 57, 307, 86]",[9889  671 3021  908],[9920  640 3032  897],[9933  627 3044  885],[9917  643 3040  889],[9893  667 3044  885]
22,7,100,"[1003, 53, 303, 90]","[987, 69, 299, 94]","[995, 61, 302, 91]","[976, 80, 289, 104]","[975, 81, 293, 100]","[999, 57, 306, 87]",[9875  685 3016  913],[9916  644 3026  903],[9921  639 3030  899],[9908  652 3028  901],[9884  676 3035  894]
23,7,125,"[1003, 53, 303, 90]","[989, 67, 300, 93]","[994, 62, 302, 91]","[977, 79, 287, 106]","[975, 81, 293, 100]","[999, 57, 305, 88]",[9881  679 3025  904],[9915  645 3029  900],[9919  641 3041  888],[9900  660 3026  903],[9875  685 3032  897]
24,7,150,"[1003, 53, 303, 90]","[991, 65, 300, 93]","[994, 62, 303, 90]","[976, 80, 286, 107]","[975, 81, 291, 102]","[998, 58, 303, 90]",[9873  687 3018  911],[9900  660 3023  906],[9905  655 3032  897],[9896  664 3018  911],[9863  697 3029  900]
