,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[1031, 25, 353, 40]","[1038, 18, 344, 49]","[1026, 30, 356, 37]","[1027, 29, 334, 59]","[1028, 28, 338, 55]","[1034, 22, 346, 47]",[10294   266  3456   473],[10287   273  3446   483],[10306   254  3464   465],[10301   259  3469   460],[10308   252  3467   462]
1,1,"[50, 100, 150]",100,"[1031, 25, 353, 40]","[1038, 18, 344, 49]","[1026, 30, 356, 37]","[1027, 29, 334, 59]","[1034, 22, 344, 49]","[1034, 22, 344, 49]",[10300   260  3460   469],[10292   268  3450   479],[10306   254  3465   464],[10306   254  3480   449],[10304   256  3466   463]
2,1,"[50, 100, 150]",150,"[1031, 25, 353, 40]","[1038, 18, 344, 49]","[1026, 30, 356, 37]","[1027, 29, 334, 59]","[1034, 22, 344, 49]","[1035, 21, 344, 49]",[10301   259  3460   469],[10292   268  3454   475],[10306   254  3467   462],[10307   253  3483   446],[10308   252  3468   461]
3,1,"[50, 100, 150]",50,"[1025, 31, 342, 51]","[1029, 27, 331, 62]","[1021, 35, 347, 46]","[1021, 35, 325, 68]","[1017, 39, 332, 61]","[1030, 26, 337, 56]",[10233   327  3357   572],[10232   328  3358   571],[10237   323  3358   571],[10231   329  3365   564],[10228   332  3353   576]
4,1,"[50, 100, 150]",100,"[1025, 31, 342, 51]","[1032, 24, 335, 58]","[1021, 35, 347, 46]","[1020, 36, 325, 68]","[1017, 39, 332, 61]","[1031, 25, 340, 53]",[10235   325  3364   565],[10232   328  3359   570],[10238   322  3358   571],[10233   327  3363   566],[10228   332  3353   576]
5,1,"[50, 100, 150]",150,"[1025, 31, 342, 51]","[1032, 24, 334, 59]","[1021, 35, 347, 46]","[1020, 36, 326, 67]","[1017, 39, 332, 61]","[1032, 24, 341, 52]",[10238   322  3365   564],[10232   328  3360   569],[10238   322  3356   573],[10233   327  3364   565],[10229   331  3355   574]
6,1,"[50, 100, 150]",50,"[1021, 35, 334, 59]","[1023, 33, 319, 74]","[1009, 47, 334, 59]","[1010, 46, 307, 86]","[990, 66, 300, 93]","[1016, 40, 318, 75]",[10109   451  3218   711],[10135   425  3236   693],[10134   426  3242   687],[10140   420  3239   690],[10113   447  3220   709]
7,1,"[50, 100, 150]",100,"[1021, 35, 334, 59]","[1022, 34, 318, 75]","[1009, 47, 334, 59]","[1010, 46, 307, 86]","[990, 66, 300, 93]","[1016, 40, 317, 76]",[10114   446  3219   710],[10136   424  3234   695],[10117   443  3232   697],[10143   417  3239   690],[10119   441  3231   698]
8,1,"[50, 100, 150]",150,"[1021, 35, 334, 59]","[1021, 35, 318, 75]","[1009, 47, 334, 59]","[1010, 46, 307, 86]","[995, 61, 308, 85]","[1017, 39, 317, 76]",[10124   436  3236   693],[10136   424  3235   694],[10128   432  3240   689],[10141   419  3239   690],[10119   441  3234   695]
9,2,"[50, 100, 150]",50,"[1023, 33, 340, 53]","[1024, 32, 324, 69]","[1015, 41, 342, 51]","[1010, 46, 309, 84]","[994, 62, 308, 85]","[1020, 36, 323, 70]",[10132   428  3276   653],[10109   451  3248   681],[10122   438  3250   679],[10150   410  3266   663],[10129   431  3264   665]
