,Max_depth,N_estimators,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,"[50, 100, 150]",50,"[1031, 25, 353, 40]",0.7431706812064325,0.642502175990203,0.11926698905573938,0.20117525343429832
1,1,"[50, 100, 150]",100,"[1031, 25, 353, 40]",0.7430740561805508,0.6426918902943298,0.11829982183761771,0.19980857710021746
2,1,"[50, 100, 150]",150,"[1031, 25, 353, 40]",0.7430050383049209,0.6426800957422656,0.11773988292186308,0.19900819291456545
3,1,"[50, 100, 150]",50,"[1025, 31, 342, 51]",0.745600110428601,0.6352110644910209,0.14527869686943246,0.2364724109383532
4,1,"[50, 100, 150]",100,"[1025, 31, 342, 51]",0.7455863068534752,0.6354345703255158,0.14497327564265716,0.23608254440081655
5,1,"[50, 100, 150]",150,"[1025, 31, 342, 51]",0.745600110428601,0.6357582411311684,0.14482056502926954,0.23590236848591545
6,1,"[50, 100, 150]",50,"[1021, 35, 334, 59]",0.7470632893919525,0.6167854115628545,0.1776533469076101,0.2758338373373813
7,1,"[50, 100, 150]",100,"[1021, 35, 334, 59]",0.7470356822417005,0.6165610227676618,0.1776533469076101,0.2758190092665623
8,1,"[50, 100, 150]",150,"[1021, 35, 334, 59]",0.746897646490441,0.6166353189753979,0.17617714431152964,0.2740516200686951
9,2,"[50, 100, 150]",50,"[1023, 33, 340, 53]",0.7451583960245703,0.6076368474444364,0.17006871977602445,0.26573801120923884
10,2,"[50, 100, 150]",100,"[1023, 33, 340, 53]",0.7452274139002001,0.6076702500203215,0.17078136930516669,0.2665936762807665
11,2,"[50, 100, 150]",150,"[1023, 33, 340, 53]",0.7454758782524674,0.6096610390646626,0.1706286586917791,0.26662040223937644
12,2,"[50, 100, 150]",50,"[1010, 46, 311, 82]",0.7472841465939678,0.595415683862673,0.21236955968439805,0.31307240309366796
13,2,"[50, 100, 150]",100,"[1010, 46, 311, 82]",0.7474635930706052,0.5968072159344899,0.2118605243064393,0.31270603314341155
14,2,"[50, 100, 150]",150,"[1010, 46, 311, 82]",0.7474221823452274,0.5965995888419796,0.21175871723084755,0.31256914822809606
15,2,"[50, 100, 150]",50,"[1009, 47, 310, 83]",0.7472151287183382,0.5915099254922775,0.21913973021124966,0.3197962019733131
16,2,"[50, 100, 150]",100,"[1009, 47, 310, 83]",0.7472841465939678,0.5920876375868143,0.21883430898447442,0.31955575257498464
17,2,"[50, 100, 150]",150,"[1009, 47, 310, 83]",0.7474221823452274,0.5928579727717878,0.21893611606006616,0.31977450777749034
18,3,"[50, 100, 150]",50,"[1010, 46, 311, 82]",0.7470494858168265,0.5947469822156938,0.21094426062611352,0.3114202931594847
19,3,"[50, 100, 150]",100,"[1010, 46, 311, 82]",0.7468286286148113,0.5933183519257494,0.21104606770170528,0.31133426952741633
20,3,"[50, 100, 150]",150,"[1011, 45, 313, 80]",0.7471875215680861,0.595621484091394,0.21089335708831766,0.31148648557450986
21,3,"[50, 100, 150]",50,"[1008, 48, 308, 85]",0.7469942715163228,0.5891703094228294,0.2213285823364724,0.3217743166915611
22,3,"[50, 100, 150]",100,"[1008, 48, 308, 85]",0.7468286286148113,0.5881832212000432,0.22137948587426828,0.3216816579362053
23,3,"[50, 100, 150]",150,"[1007, 49, 307, 86]",0.7467872178894334,0.587967430706171,0.2213285823364724,0.3215947315013944
24,3,"[50, 100, 150]",50,"[1007, 49, 307, 86]",0.7473255573193457,0.5890953469778359,0.2255026724357343,0.32615167003265083
25,3,"[50, 100, 150]",100,"[1007, 49, 306, 87]",0.7473255573193456,0.5892408658035713,0.225197251208959,0.3258544645459632
26,3,"[50, 100, 150]",150,"[1007, 49, 306, 87]",0.7471599144178342,0.5883877719102385,0.2249936370577755,0.3255121604088806
27,4,"[50, 100, 150]",50,"[1010, 46, 309, 84]",0.7470770929670785,0.5914197435656809,0.21771443115296513,0.31826195213770775
28,4,"[50, 100, 150]",100,"[1011, 45, 311, 82]",0.7468010214645593,0.5898907263296996,0.21751081700178165,0.31782214764553063
29,4,"[50, 100, 150]",150,"[1011, 45, 311, 82]",0.7469390572158189,0.5907591522004714,0.2174090099261899,0.3178407854463898
30,4,"[50, 100, 150]",50,"[1005, 51, 303, 90]",0.7476292359721167,0.5913799413844332,0.224382794604225,0.3253241699910052
31,4,"[50, 100, 150]",100,"[1004, 52, 302, 91]",0.7476844502726206,0.591565875372958,0.22463731229320433,0.3256221450747781
32,4,"[50, 100, 150]",150,"[1004, 52, 302, 91]",0.7476430395472428,0.5911998175673305,0.22489182998218374,0.325834178390179
33,4,"[50, 100, 150]",50,"[1005, 51, 303, 90]",0.7475050037959832,0.5905311415343484,0.22463731229320438,0.3254645897145011
34,4,"[50, 100, 150]",100,"[1004, 52, 301, 92]",0.7476568431223687,0.5912259738647407,0.2249936370577755,0.3259457189727925
35,4,"[50, 100, 150]",150,"[1005, 51, 301, 92]",0.7475326109462351,0.5905544583294617,0.22489182998218377,0.32573709796718747
