,Max_depth,N_estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,3,50,"[1013, 43, 309, 84]",0.7482503968527848,0.5995158425671321,0.21578009671672177,0.3173348245408466
1,3,75,"[1010, 46, 307, 86]",0.7492304506867278,0.6022567290126788,0.2215321964876559,0.32390115492049826
2,3,100,"[1011, 45, 305, 88]",0.7494098971633654,0.6017550375851216,0.22443369814202088,0.3269215709533174
3,3,125,"[1010, 46, 305, 88]",0.7497687901166402,0.6022463380780587,0.22738610333418174,0.33011934032312135
4,3,150,"[1010, 46, 302, 91]",0.7497687901166401,0.6012249403024953,0.22926953423262914,0.3319357809551223
5,4,50,"[1010, 46, 311, 82]",0.7493270757126095,0.6043824296744348,0.21883430898447442,0.3213149169913804
6,4,75,"[1012, 44, 310, 83]",0.7494098971633653,0.6031777980235722,0.22178671417663529,0.3243118006054457
7,4,100,"[1012, 44, 308, 85]",0.7496583615156326,0.6031495004515933,0.22453550521761265,0.327233471604217
8,4,125,"[1008, 48, 304, 89]",0.7496169507902547,0.6007665207721111,0.22840417409009928,0.33096037594077493
9,4,150,"[1007, 49, 304, 89]",0.7496445579405066,0.5993213117690013,0.23150928989564773,0.33398204283821425
10,5,50,"[1013, 43, 307, 86]",0.749851611567396,0.6043572928954711,0.22448460167981676,0.3273606925114486
11,5,75,"[1011, 45, 307, 86]",0.7497963972668921,0.6031941440767872,0.22601170781369304,0.32879039798376186
12,5,100,"[1011, 45, 305, 88]",0.749478915038995,0.6005573296841642,0.2274370068719776,0.32988914312305134
13,5,125,"[1010, 46, 303, 90]",0.749175236386224,0.5970301209205361,0.23089844744209725,0.3329752162417222
14,5,150,"[1010, 46, 304, 89]",0.748885361308579,0.5940826188867369,0.2335963349452787,0.33531752938445514
15,6,50,"[1011, 45, 302, 91]",0.749547932914625,0.6018861184847376,0.22560447951132603,0.3281689390722075
16,6,75,"[1012, 44, 300, 93]",0.7493822900131135,0.5998454099706909,0.2276406210231611,0.33001517952006376
17,6,100,"[1011, 45, 300, 93]",0.749175236386224,0.5962762045023172,0.2322728429625859,0.33429601344497617
18,6,125,"[1009, 47, 300, 93]",0.7479053074746359,0.5884686822684251,0.23390175617205394,0.3347199692891831
19,6,150,"[1006, 50, 301, 92]",0.7476430395472426,0.585439809295457,0.23766861796894884,0.338058218968765
20,7,50,"[1007, 49, 300, 93]",0.7487059148319415,0.595430773037523,0.22860778824128278,0.33036407352673863
21,7,75,"[1008, 48, 300, 93]",0.7480433432258955,0.5905201886391865,0.23105115805548487,0.33212565506485614
22,7,100,"[1007, 49, 303, 90]",0.7476154323969908,0.5865170958562034,0.23481801985237977,0.33534086402363306
23,7,125,"[1001, 55, 302, 91]",0.746580164262544,0.5798556056891646,0.23766861796894884,0.3371184883347824
24,7,150,"[1004, 52, 296, 97]",0.746276485609773,0.5765809033879613,0.24219903283278188,0.3410793595232551
