,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[1031, 25, 354, 39]","[1038, 18, 345, 48]","[1028, 28, 358, 35]","[1027, 29, 334, 59]","[1035, 21, 345, 48]","[1036, 20, 346, 47]",[10306   254  3473   456],[10308   252  3471   458],[10322   238  3485   444],[10314   246  3495   434],[10318   242  3493   436]
1,1,"[50, 100, 150]",100,"[1031, 25, 354, 39]","[1038, 18, 345, 48]","[1029, 27, 358, 35]","[1027, 29, 335, 58]","[1035, 21, 345, 48]","[1036, 20, 345, 48]",[10309   251  3474   455],[10314   246  3477   452],[10321   239  3482   447],[10315   245  3493   436],[10318   242  3492   437]
2,1,"[50, 100, 150]",150,"[1031, 25, 354, 39]","[1038, 18, 345, 48]","[1030, 26, 359, 34]","[1027, 29, 335, 58]","[1035, 21, 345, 48]","[1036, 20, 347, 46]",[10310   250  3477   452],[10315   245  3483   446],[10323   237  3485   444],[10318   242  3496   433],[10321   239  3495   434]
3,1,"[50, 100, 150]",50,"[1027, 29, 340, 53]","[1029, 27, 332, 61]","[1019, 37, 348, 45]","[1023, 33, 326, 67]","[1026, 30, 335, 58]","[1031, 25, 344, 49]",[10249   311  3377   552],[10245   315  3374   555],[10246   314  3371   558],[10254   306  3383   546],[10252   308  3377   552]
4,1,"[50, 100, 150]",100,"[1027, 29, 341, 52]","[1029, 27, 332, 61]","[1019, 37, 349, 44]","[1023, 33, 326, 67]","[1026, 30, 336, 57]","[1031, 25, 344, 49]",[10250   310  3381   548],[10245   315  3378   551],[10252   308  3374   555],[10259   301  3382   547],[10258   302  3377   552]
5,1,"[50, 100, 150]",150,"[1027, 29, 341, 52]","[1029, 27, 331, 62]","[1019, 37, 349, 44]","[1023, 33, 326, 67]","[1026, 30, 336, 57]","[1032, 24, 344, 49]",[10251   309  3379   550],[10249   311  3380   549],[10252   308  3376   553],[10259   301  3382   547],[10259   301  3381   548]
6,1,"[50, 100, 150]",50,"[1022, 34, 327, 66]","[1018, 38, 317, 76]","[1013, 43, 337, 56]","[1011, 45, 308, 85]","[1009, 47, 321, 72]","[1025, 31, 332, 61]",[10155   405  3247   682],[10157   403  3235   694],[10151   409  3251   678],[10172   388  3256   673],[10154   406  3244   685]
7,1,"[50, 100, 150]",100,"[1022, 34, 327, 66]","[1017, 39, 317, 76]","[1013, 43, 341, 52]","[1011, 45, 307, 86]","[1009, 47, 321, 72]","[1024, 32, 332, 61]",[10154   406  3250   679],[10160   400  3235   694],[10155   405  3248   681],[10173   387  3259   670],[10152   408  3247   682]
8,1,"[50, 100, 150]",150,"[1022, 34, 327, 66]","[1017, 39, 317, 76]","[1013, 43, 339, 54]","[1011, 45, 308, 85]","[1010, 46, 321, 72]","[1025, 31, 332, 61]",[10156   404  3252   677],[10162   398  3238   691],[10156   404  3251   678],[10172   388  3260   669],[10154   406  3248   681]
9,2,"[50, 100, 150]",50,"[1021, 35, 325, 68]","[1016, 40, 314, 79]","[1015, 41, 336, 57]","[1012, 44, 307, 86]","[1010, 46, 316, 77]","[1019, 37, 328, 65]",[10125   435  3220   709],[10127   433  3203   726],[10120   440  3228   701],[10137   423  3220   709],[10121   439  3218   711]
