,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[1011, 45, 308, 85]","[1008, 48, 294, 99]","[998, 58, 318, 75]","[994, 62, 290, 103]","[986, 70, 300, 93]","[1008, 48, 318, 75]",[9986  574 3081  848],[10008   552  3091   838],[10013   547  3084   845],[10003   557  3078   851],[10001   559  3078   851]
1,3,75,"[1011, 45, 308, 85]","[1006, 50, 297, 96]","[1000, 56, 315, 78]","[994, 62, 289, 104]","[990, 66, 300, 93]","[1005, 51, 313, 80]",[9986  574 3070  859],[9999  561 3069  860],[10008   552  3074   855],[10003   557  3065   864],[9995  565 3071  858]
2,3,100,"[1010, 46, 307, 86]","[1001, 55, 295, 98]","[998, 58, 311, 82]","[994, 62, 287, 106]","[988, 68, 296, 97]","[1006, 50, 312, 81]",[9974  586 3051  878],[9982  578 3053  876],[9987  573 3070  859],[9984  576 3055  874],[9984  576 3063  866]
3,3,125,"[1011, 45, 306, 87]","[1001, 55, 295, 98]","[999, 57, 311, 82]","[992, 64, 285, 108]","[986, 70, 297, 96]","[1004, 52, 310, 83]",[9967  593 3041  888],[9959  601 3040  889],[9977  583 3048  881],[9973  587 3041  888],[9978  582 3054  875]
4,3,150,"[1011, 45, 300, 93]","[1000, 56, 294, 99]","[998, 58, 311, 82]","[990, 66, 284, 109]","[984, 72, 293, 100]","[1004, 52, 309, 84]",[9963  597 3025  904],[9950  610 3022  907],[9976  584 3039  890],[9961  599 3033  896],[9963  597 3044  885]
5,4,50,"[1011, 45, 314, 79]","[1006, 50, 302, 91]","[999, 57, 311, 82]","[996, 60, 291, 102]","[990, 66, 308, 85]","[1009, 47, 311, 82]",[9989  571 3077  852],[10007   553  3085   844],[9997  563 3075  854],[9999  561 3081  848],[9999  561 3076  853]
6,4,75,"[1013, 43, 311, 82]","[1009, 47, 300, 93]","[996, 60, 305, 88]","[999, 57, 289, 104]","[993, 63, 305, 88]","[1008, 48, 310, 83]",[9992  568 3061  868],[9987  573 3072  857],[9990  570 3068  861],[9998  562 3068  861],[9997  563 3065  864]
7,4,100,"[1013, 43, 312, 81]","[1006, 50, 301, 92]","[995, 61, 301, 92]","[996, 60, 288, 105]","[992, 64, 303, 90]","[1005, 51, 310, 83]",[9979  581 3053  876],[9969  591 3047  882],[9970  590 3049  880],[9975  585 3046  883],[9971  589 3054  875]
8,4,125,"[1011, 45, 308, 85]","[1006, 50, 300, 93]","[995, 61, 301, 92]","[990, 66, 285, 108]","[991, 65, 300, 93]","[1002, 54, 307, 86]",[9960  600 3040  889],[9955  605 3035  894],[9955  605 3032  897],[9966  594 3033  896],[9963  597 3043  886]
9,4,150,"[1012, 44, 309, 84]","[1005, 51, 300, 93]","[992, 64, 300, 93]","[991, 65, 285, 108]","[992, 64, 297, 96]","[998, 58, 304, 89]",[9946  614 3023  906],[9941  619 3025  904],[9938  622 3022  907],[9946  614 3016  913],[9935  625 3033  896]
