,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[1015, 41, 329, 64]","[1013, 43, 317, 76]","[1012, 44, 349, 44]","[1013, 43, 314, 79]","[991, 65, 331, 62]","[1017, 39, 327, 66]",[10098   462  3274   655],[10101   459  3252   677],[10107   453  3269   660],[10108   452  3310   619],[10125   435  3278   651]
1,3,75,"[1012, 44, 324, 69]","[1013, 43, 317, 76]","[1008, 48, 339, 54]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10052   508  3240   689],[10090   470  3244   685],[10107   453  3257   672],[10102   458  3291   638],[10127   433  3257   672]
2,3,100,"[1012, 44, 324, 69]","[1013, 43, 317, 76]","[1008, 48, 339, 54]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10052   508  3240   689],[10078   482  3240   689],[10077   483  3241   688],[10095   465  3290   639],[10126   434  3254   675]
3,3,125,"[1012, 44, 324, 69]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10052   508  3239   690],[10046   514  3219   710],[10080   480  3242   687],[10095   465  3290   639],[10100   460  3238   691]
4,3,150,"[1015, 41, 327, 66]","[1013, 43, 319, 74]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10055   505  3244   685],[10048   512  3222   707],[10080   480  3242   687],[10095   465  3290   639],[10091   469  3237   692]
5,4,50,"[1015, 41, 327, 66]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[994, 62, 332, 61]","[1017, 39, 327, 66]",[10056   504  3243   686],[10032   528  3210   719],[10067   493  3233   696],[10093   467  3287   642],[10079   481  3228   701]
6,4,75,"[1015, 41, 327, 66]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10055   505  3242   687],[10067   493  3234   695],[10067   493  3233   696],[10094   466  3287   642],[10079   481  3225   704]
7,4,100,"[1009, 47, 321, 72]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10049   511  3236   693],[10044   516  3216   713],[10047   513  3217   712],[10080   480  3278   651],[10071   489  3219   710]
8,4,125,"[1009, 47, 321, 72]","[1000, 56, 306, 87]","[1008, 48, 338, 55]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10015   545  3208   721],[10039   521  3215   714],[10047   513  3217   712],[10059   501  3260   669],[10071   489  3222   707]
9,4,150,"[1009, 47, 321, 72]","[1000, 56, 306, 87]","[1008, 48, 338, 55]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10016   544  3209   720],[10026   534  3202   727],[10047   513  3218   711],[10058   502  3261   668],[10064   496  3218   711]
10,5,50,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10043   517  3224   705],[10019   541  3194   735],[10042   518  3216   713],[10062   498  3263   666],[10053   507  3209   720]
11,5,75,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10043   517  3224   705],[10019   541  3194   735],[10042   518  3216   713],[10062   498  3264   665],[10053   507  3206   723]
12,5,100,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10043   517  3224   705],[10019   541  3194   735],[10042   518  3216   713],[10062   498  3264   665],[10053   507  3206   723]
13,5,125,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10016   544  3212   717],[10019   541  3194   735],[10040   520  3214   715],[10061   499  3263   666],[10052   508  3205   724]
