,Max_depth,N_estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,3,50,"[1015, 41, 329, 64]",0.7426461453516461,0.5905493545359655,0.16604734029015017,0.25919167213417016
1,3,75,"[1012, 44, 324, 69]",0.7431016633308027,0.5912548383954047,0.1708322728429626,0.26502825649726097
2,3,100,"[1012, 44, 324, 69]",0.7427427703775278,0.5877968989464123,0.17205395775006363,0.2661426347020307
3,3,125,"[1012, 44, 324, 69]",0.7424943060252607,0.5847732220865879,0.17393738864851108,0.2680650925616629
4,3,150,"[1015, 41, 327, 66]",0.7423424666988749,0.5838290074829875,0.17358106388393993,0.2675506407040721
5,4,50,"[1015, 41, 327, 66]",0.7422320380978673,0.5820765517196321,0.17531178416899976,0.26939928070005664
6,4,75,"[1015, 41, 327, 66]",0.7424390917247568,0.5840480360460532,0.17429371341308225,0.26843360757979234
7,4,100,"[1009, 47, 321, 72]",0.7422182345227414,0.5809418592204884,0.17709340799185544,0.27139897372872923
8,4,125,"[1009, 47, 321, 72]",0.741997377320726,0.5783608811441747,0.179333163654874,0.2737403009662479
9,4,150,"[1009, 47, 321, 72]",0.7419145558699703,0.577406627559018,0.1800458131840163,0.27445751502446447
10,5,50,"[1009, 47, 321, 72]",0.7420525916212299,0.5782215598875343,0.18014762025960804,0.274666460666314
11,5,75,"[1009, 47, 321, 72]",0.7420801987714818,0.5783495479088799,0.1802494273351998,0.27479830025157675
12,5,100,"[1009, 47, 321, 72]",0.7420801987714818,0.5783495479088799,0.1802494273351998,0.27479830025157675
13,5,125,"[1009, 47, 321, 72]",0.7418731451445925,0.5765797373409632,0.1810638839399338,0.2755376653184317
14,5,150,"[1009, 47, 321, 72]",0.7419007522948443,0.5765390192161286,0.18152201578009672,0.27607105317404534
15,6,50,"[1009, 47, 321, 72]",0.742038788046104,0.5781233341453106,0.18014762025960804,0.27465619229408
16,6,75,"[1009, 47, 321, 72]",0.7420663951963559,0.5782268392931716,0.18030033087299566,0.2748460497279437
17,6,100,"[1009, 47, 321, 72]",0.7420663951963559,0.5782268392931716,0.18030033087299566,0.2748460497279437
18,6,125,"[1009, 47, 321, 72]",0.7418731451445925,0.576555170479012,0.1811147874777297,0.27559563359951966
19,6,150,"[1009, 47, 321, 72]",0.7419007522948443,0.5765390192161286,0.18152201578009672,0.27607105317404534
20,7,50,"[1009, 47, 321, 72]",0.742038788046104,0.5781233341453106,0.18014762025960804,0.27465619229408
21,7,75,"[1009, 47, 321, 72]",0.7420801987714818,0.5783248965521327,0.18030033087299566,0.27485631406941335
22,7,100,"[1009, 47, 321, 72]",0.7420801987714818,0.5783248965521327,0.18030033087299566,0.27485631406941335
23,7,125,"[1009, 47, 321, 72]",0.7418731451445925,0.576555170479012,0.1811147874777297,0.27559563359951966
24,7,150,"[1009, 47, 321, 72]",0.7419007522948443,0.5765148683818764,0.1815729193178926,0.27612879457361583
