Feature,Feature Selection,Probability
MaternalEducation: Primary,MRMR,0
MaternalEducation: Secondary,MRMR,0
MaternalEducation: Highschool+,MRMR,0
PaternalEducation: Primary,MRMR,0
PaternalEducation: Secondary,MRMR,0
PaternalEducation: Highschool+,MRMR,0
MaternalOccupation: Agriculture,MRMR,0
MaternalOccupation:NotWorking,MRMR,0.12
PaternalOccupation: Agriculture,MRMR,0
PatrnalOccupation: NotWorking,MRMR,0
Watersource:Piped,MRMR,0
Watersource:Improved,MRMR,0
TravelTimeToWater:<30min,MRMR,0
TravelTimeToWater:>30min,MRMR,0
Religion: Orthordox,MRMR,0
Religion: Protestant,MRMR,0
Religion: Muslim,MRMR,0.36
FamilySize: 5-9,MRMR,0
FamilySize: 10+,MRMR,0
ListeningRadio: Infrequent,MRMR,0
ListeningRadio: Sometimes,MRMR,0
WatchingTV: Infrequent,MRMR,0
WatchingTV: Sometimes,MRMR,0
ReadingNews: Infrequent,MRMR,0
ReadingNews: Sometimes,MRMR,0
WealthIndex: Poorest,MRMR,0.4
WealthIndex: Poorer,MRMR,0
WealthIndex: Middle,MRMR,0
WealthIndex: Richer,MRMR,0
ChildBirthSize: Average,MRMR,0
ChildBirthSize: Small,MRMR,0.3
ChildBirthSize: Unknown,MRMR,0.04
ChildHeight: 50-75cm,MRMR,0
ChildHeight: 75-100cm,MRMR,0
ChildWeight: 6-9.9kg,MRMR,1
ChildWeight: 10-14.9kg,MRMR,0
ChildWeight: 15-19.9kg,MRMR,0.48
ChildWeight: 1-5.9kg,MRMR,0.42
BirthOrder: 3-5,MRMR,0
BirthOrder: 6+,MRMR,0
MaternalAge: 15-19,MRMR,0.12
MaternalAge: 20-24,MRMR,0
MaternalAge: 25-29,MRMR,0
MaternalAge: 30-34,MRMR,0
MaternalAge: 35-39,MRMR,0.02
MaternalAge: 40-44,MRMR,0.86
MaternalEducation: Primary,CFS,0
MaternalEducation: Secondary,CFS,0
MaternalEducation: Highschool+,CFS,0.02
PaternalEducation: Primary,CFS,0
PaternalEducation: Secondary,CFS,0
PaternalEducation: Highschool+,CFS,0
MaternalOccupation: Agriculture,CFS,0
MaternalOccupation:NotWorking,CFS,1
PaternalOccupation: Agriculture,CFS,0
PatrnalOccupation: NotWorking,CFS,0
Watersource:Piped,CFS,0
Watersource:Improved,CFS,0
TravelTimeToWater:<30min,CFS,0
TravelTimeToWater:>30min,CFS,0
Religion: Orthordox,CFS,1
Religion: Protestant,CFS,0
Religion: Muslim,CFS,1
FamilySize: 5-9,CFS,0
FamilySize: 10+,CFS,0
ListeningRadio: Infrequent,CFS,0
ListeningRadio: Sometimes,CFS,0
WatchingTV: Infrequent,CFS,0
WatchingTV: Sometimes,CFS,0.06
ReadingNews: Infrequent,CFS,0
ReadingNews: Sometimes,CFS,0
WealthIndex: Poorest,CFS,1
WealthIndex: Poorer,CFS,0
WealthIndex: Middle,CFS,0
WealthIndex: Richer,CFS,0
ChildBirthSize: Average,CFS,0
ChildBirthSize: Small,CFS,0.86
ChildBirthSize: Unknown,CFS,0
ChildHeight: 50-75cm,CFS,1
ChildHeight: 75-100cm,CFS,0
ChildWeight: 6-9.9kg,CFS,1
ChildWeight: 10-14.9kg,CFS,0
ChildWeight: 15-19.9kg,CFS,1
ChildWeight: 1-5.9kg,CFS,0.08
BirthOrder: 3-5,CFS,0
BirthOrder: 6+,CFS,0
MaternalAge: 15-19,CFS,0.34
MaternalAge: 20-24,CFS,0
MaternalAge: 25-29,CFS,0
MaternalAge: 30-34,CFS,0
