Feature,Response,Anemia(+),Anemia(-),,,,,,,,,,,
PopulationSize,,,,,,,,,,,,,,
AnnualPrecipitation,,,,,,,,,,,,,,
DiurnalSurfaceTemperature,,,,,,,,,,,,,,
DiurnalTemperatureRange,,,,,,,,,,,,,,
VegetationIndex,,,,,,,,,,,,,,
HumanFootprint,,,,,,,,,,,,,,
GrossCellProduction,,,,,,,,,,,,,,
GrowthSeasonLength,,,,,,,,,,,,,,
Irrigation,,,,,,,,,,,,,,
ITNCoverage,,,,,,,,,,,,,,
LandSurfaceTemperature,,,,,,,,,,,,,,
MalariaPrevalence,,,,,,,,,,,,,,
MeanTemperature,,,,,,,,,,,,,,
NightlightsComposite,,,,,,,,,,,,,,
ProximityToWater,,,,,,,,,,,,,,
Residence,Rural,3971,2496,6467,7795,6467(83%),,,,,61.40405134,38.59594866,3971(61.4%),2496(38.6%)
,Urban,720,608,1328,7795,1328(17%),,,,,54.21686747,45.78313253,720(54.2%),608(45.8%)
Toilet,Improved,717,513,1230,7795,1230(15.8%),,,,,58.29268293,41.70731707,717(58.3%),513(41.7%)
,UnImproved,3974,2591,6565,7795,6565(84.2%),,,,,60.53313024,39.46686976,3974(60.5%),2591(39.5%)
HIV,Positive,31,42,73,7795,73(0.9%),,,,,42.46575342,57.53424658,31(42.5%),42(57.5%)
,Negative/Unknown,4660,3062,7722,7795,7722(99.1%),,,,,60.34706035,39.65293965,4660(60.3%),3062(39.7%)
HouseholdAmeities,Yes,3084,1786,4870,7795,4870(62.5%),,,,,63.32648871,36.67351129,3084(63.3%),1786(36.7%)
,No,1607,1318,2925,7795,2925(37.5%),,,,,54.94017094,45.05982906,1607(54.9%),1318(45.1%)
Transportation,Yes,184,176,360,7795,360(4.6%),,,,,51.11111111,48.88888889,184(51.1%),176(48.9%)
,No,4507,2928,7435,7795,7435(95.4%),,,,,60.61869536,39.38130464,4507(60.6%),2928(39.4%)
FloorType,Dirt,3977,2521,6498,7795,6498(83.4%),,,,,61.20344721,38.79655279,3977(61.2%),2521(38.8%)
,Built,714,583,1297,7795,1297(16.6%),,,,,55.05011565,44.94988435,714(55.1%),583(44.9%)
HouseholdHead,Female,1016,581,1597,7795,1597(20.5%),,,,,63.61928616,36.38071384,1016(63.6%),581(36.4%)
,Male,3675,2523,6198,7795,6198(79.5%),,,,,59.29332043,40.70667957,3675(59.3%),2523(40.7%)
Breastfeeding,Yes,3110,1860,4970,7795,4970(63.8%),,,,,62.57545272,37.42454728,3110(62.6%),1860(37.4%)
,No,1581,1244,2825,7795,2825(36.2%),,,,,55.96460177,44.03539823,1581(56%),1244(44%)
Diet: Starch/Legume,Yes,1094,854,1948,7795,1948(25%),,,,,56.16016427,43.83983573,1094(56.2%),854(43.8%)
,No,3597,2250,5847,7795,5847(75%),,,,,61.51872755,38.48127245,3597(61.5%),2250(38.5%)
Diet: Meat/Fish,Yes,181,127,308,7795,308(4%),,,,,58.76623377,41.23376623,181(58.8%),127(41.2%)
,No,4510,2977,7487,7795,7487(96%),,,,,60.23774543,39.76225457,4510(60.2%),2977(39.8%)
Diet: Fruit,Yes,512,457,969,7795,969(12.4%),,,,,52.8379773,47.1620227,512(52.8%),457(47.2%)
,No,4179,2647,6826,7795,6826(87.6%),,,,,61.221799,38.778201,4179(61.2%),2647(38.8%)
Diet: Diary,Yes,930,646,1576,7795,1576(20.2%),,,,,59.01015228,40.98984772,930(59%),646(41%)
,No,3761,2458,6219,7795,6219(79.8%),,,,,60.47596077,39.52403923,3761(60.5%),2458(39.5%)
Diet: Vegetables,Yes,587,483,1070,7795,1070(13.7%),,,,,54.85981308,45.14018692,587(54.9%),483(45.1%)
,No,4104,2621,6725,7795,6725(86.3%),,,,,61.0260223,38.9739777,4104(61%),2621(39%)
MaternalAnemia,Yes,1982,813,2795,7795,2795(35.9%),,,,,70.91234347,29.08765653,1982(70.9%),813(29.1%)
,No,2709,2291,5000,7795,5000(64.1%),,,,,54.18,45.82,2709(54.2%),2291(45.8%)
ChildGender,Female,2256,1528,3784,7795,3784(48.5%),,,,,59.61945032,40.38054968,2256(59.6%),1528(40.4%)
,Male,2435,1576,4011,7795,4011(51.5%),,,,,60.70805285,39.29194715,2435(60.7%),1576(39.3%)
