,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]"
1,25,0.2,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
2,25,0.3,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
3,25,0.4,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
4,25,0.5,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
5,50,0.1,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
6,50,0.2,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
7,50,0.3,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
8,50,0.4,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
9,50,0.5,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
10,75,0.1,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
11,75,0.2,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
12,75,0.3,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
13,75,0.4,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
14,75,0.5,"[148, 162, 89, 381]","[134, 177, 109, 360]","[150, 161, 119, 350]","[138, 173, 115, 354]","[150, 161, 99, 370]","[160, 150, 89, 380]","[150, 160, 109, 360]","[150, 160, 112, 357]","[144, 166, 91, 378]","[150, 160, 101, 368]"
