,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[984, 72, 318, 75]","[999, 57, 313, 80]","[1001, 55, 315, 78]","[982, 74, 310, 83]","[995, 61, 308, 85]","[980, 76, 292, 101]","[999, 57, 297, 96]","[1002, 54, 311, 82]","[1017, 39, 315, 78]","[998, 58, 309, 83]"
1,rbf,0.1,1.0,,"[1008, 48, 335, 58]","[1017, 39, 326, 67]","[1016, 40, 336, 57]","[1006, 50, 325, 68]","[1013, 43, 334, 59]","[980, 76, 292, 101]","[1014, 42, 320, 73]","[1020, 36, 335, 58]","[1025, 31, 333, 60]","[1014, 42, 337, 55]"
2,poly,0.1,1.0,2.0,"[988, 68, 321, 72]","[1001, 55, 313, 80]","[1013, 43, 337, 56]","[987, 69, 317, 76]","[1013, 43, 334, 59]","[980, 76, 292, 101]","[1010, 46, 312, 81]","[1019, 37, 331, 62]","[1022, 34, 328, 65]","[1009, 47, 330, 62]"
3,poly,0.1,1.0,3.0,"[999, 57, 324, 69]","[1013, 43, 323, 70]","[1013, 43, 332, 61]","[983, 73, 310, 83]","[1001, 55, 325, 68]","[980, 76, 292, 101]","[1007, 49, 308, 85]","[1016, 40, 327, 66]","[1022, 34, 326, 67]","[1005, 51, 325, 67]"
4,rbf,0.1,10.0,,"[1001, 55, 331, 62]","[1016, 40, 328, 65]","[1017, 39, 340, 53]","[1010, 46, 331, 62]","[1011, 45, 331, 62]","[981, 75, 292, 101]","[1015, 41, 323, 70]","[1025, 31, 341, 52]","[1018, 38, 325, 68]","[1015, 41, 343, 49]"
5,poly,0.1,10.0,2.0,"[985, 71, 318, 75]","[1012, 44, 322, 71]","[1011, 45, 331, 62]","[987, 69, 317, 76]","[1002, 54, 324, 69]","[980, 76, 292, 101]","[1004, 52, 304, 89]","[1012, 44, 324, 69]","[1015, 41, 322, 71]","[1002, 54, 324, 68]"
6,poly,0.1,10.0,3.0,"[997, 59, 322, 71]","[1009, 47, 315, 78]","[1004, 52, 325, 68]","[996, 60, 312, 81]","[994, 62, 323, 70]","[980, 76, 292, 101]","[1003, 53, 296, 97]","[1011, 45, 324, 69]","[1011, 45, 315, 78]","[1003, 53, 321, 71]"
7,linear,1.0,,,"[984, 72, 318, 75]","[999, 57, 313, 80]","[1001, 55, 315, 78]","[982, 74, 310, 83]","[995, 61, 308, 85]","[980, 76, 292, 101]","[999, 57, 297, 96]","[1002, 54, 311, 82]","[1017, 39, 315, 78]","[998, 58, 309, 83]"
8,rbf,1.0,1.0,,"[1000, 56, 324, 69]","[1009, 47, 315, 78]","[1008, 48, 325, 68]","[996, 60, 312, 81]","[995, 61, 324, 69]","[980, 76, 292, 101]","[1006, 50, 302, 91]","[1011, 45, 324, 69]","[1012, 44, 320, 73]","[1003, 53, 321, 71]"
9,poly,1.0,1.0,2.0,"[984, 72, 319, 74]","[999, 57, 312, 81]","[1013, 43, 337, 56]","[987, 69, 317, 76]","[1009, 47, 330, 63]","[980, 76, 292, 101]","[1007, 49, 310, 83]","[1019, 37, 331, 62]","[1022, 34, 329, 64]","[1003, 53, 326, 66]"
