,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[90, 220, 38, 432]","[94, 217, 41, 428]","[99, 212, 57, 412]","[87, 224, 38, 431]","[93, 218, 50, 419]","[77, 233, 53, 416]","[83, 227, 39, 430]","[88, 222, 31, 438]","[90, 220, 42, 427]","[95, 215, 44, 425]"
1,1,"[50, 100, 150]",100,"[93, 217, 38, 432]","[94, 217, 40, 429]","[97, 214, 55, 414]","[86, 225, 37, 432]","[92, 219, 47, 422]","[73, 237, 51, 418]","[83, 227, 40, 429]","[86, 224, 31, 438]","[90, 220, 42, 427]","[95, 215, 43, 426]"
2,1,"[50, 100, 150]",150,"[93, 217, 39, 431]","[95, 216, 40, 429]","[97, 214, 55, 414]","[86, 225, 37, 432]","[92, 219, 49, 420]","[76, 234, 51, 418]","[83, 227, 39, 430]","[89, 221, 32, 437]","[91, 219, 41, 428]","[95, 215, 43, 426]"
3,1,"[50, 100, 150]",50,"[124, 186, 65, 405]","[115, 196, 57, 412]","[124, 187, 71, 398]","[112, 199, 55, 414]","[115, 196, 68, 401]","[115, 195, 76, 393]","[113, 197, 61, 408]","[117, 193, 47, 422]","[114, 196, 57, 412]","[128, 182, 65, 404]"
4,1,"[50, 100, 150]",100,"[127, 183, 66, 404]","[114, 197, 56, 413]","[129, 182, 74, 395]","[112, 199, 55, 414]","[115, 196, 68, 401]","[115, 195, 74, 395]","[118, 192, 65, 404]","[117, 193, 48, 421]","[114, 196, 57, 412]","[127, 183, 65, 404]"
5,1,"[50, 100, 150]",150,"[128, 182, 66, 404]","[116, 195, 57, 412]","[129, 182, 74, 395]","[112, 199, 55, 414]","[115, 196, 68, 401]","[115, 195, 74, 395]","[115, 195, 60, 409]","[111, 199, 45, 424]","[114, 196, 57, 412]","[127, 183, 65, 404]"
6,1,"[50, 100, 150]",50,"[145, 165, 74, 396]","[138, 173, 62, 407]","[140, 171, 84, 385]","[126, 185, 64, 405]","[123, 188, 74, 395]","[126, 184, 81, 388]","[147, 163, 86, 383]","[127, 183, 57, 412]","[143, 167, 79, 390]","[137, 173, 74, 395]"
7,1,"[50, 100, 150]",100,"[146, 164, 73, 397]","[137, 174, 62, 407]","[139, 172, 82, 387]","[125, 186, 64, 405]","[123, 188, 74, 395]","[126, 184, 81, 388]","[147, 163, 86, 383]","[129, 181, 57, 412]","[143, 167, 80, 389]","[143, 167, 81, 388]"
8,1,"[50, 100, 150]",150,"[146, 164, 74, 396]","[138, 173, 63, 406]","[139, 172, 82, 387]","[125, 186, 64, 405]","[123, 188, 74, 395]","[126, 184, 80, 389]","[147, 163, 86, 383]","[128, 182, 55, 414]","[144, 166, 80, 389]","[143, 167, 81, 388]"
9,2,"[50, 100, 150]",50,"[163, 147, 86, 384]","[149, 162, 74, 395]","[139, 172, 82, 387]","[135, 176, 78, 391]","[137, 174, 79, 390]","[139, 171, 86, 383]","[145, 165, 89, 380]","[147, 163, 68, 401]","[144, 166, 86, 383]","[150, 160, 81, 388]"
10,2,"[50, 100, 150]",100,"[163, 147, 86, 384]","[151, 160, 74, 395]","[140, 171, 82, 387]","[137, 174, 76, 393]","[127, 184, 74, 395]","[139, 171, 85, 384]","[145, 165, 88, 381]","[149, 161, 70, 399]","[144, 166, 87, 382]","[150, 160, 82, 387]"
