,Unnamed: 0,filename,Accuracy,F1,Feature Selection,Classifier,Boost or Bag
0,22,elasticnetcfs_0_finalscore.csv,0.747,0.317,CFS,LR,none
1,47,elasticnetcfs_0bag_finalscore.csv,0.747,0.308,CFS,LR,bag
2,83,elasticnetcfs_0boost_finalscore.csv,0.748,0.33,CFS,LR,boost
3,34,elasticnetinfogain_20_finalscore.csv,0.748,0.296,IG-20,LR,none
4,63,elasticnetinfogain_20bag_finalscore.csv,0.748,0.306,IG-20,LR,bag
5,75,elasticnetinfogain_20boost_finalscore.csv,0.749,0.335,IG-20,LR,boost
6,3,elasticnetinfogain_40_finalscore.csv,0.748,0.315,IG-40,LR,none
7,78,elasticnetinfogain_40bag_finalscore.csv,0.749,0.321,IG-40,LR,bag
8,9,elasticnetinfogain_40boost_finalscore.csv,0.749,0.347,IG-40,LR,boost
9,70,elasticnetinfogain_60_finalscore.csv,0.748,0.323,IG-60,LR,none
10,4,elasticnetinfogain_60bag_finalscore.csv,0.75,0.33,IG-60,LR,bag
11,50,elasticnetinfogain_60boost_finalscore.csv,0.749,0.352,IG-60,LR,boost
12,62,elasticnetinfogain_78_finalscore.csv,0.748,0.335,IG-78,LR,none
13,20,elasticnetinfogain_78bag_finalscore.csv,0.75,0.336,IG-78,LR,bag
14,48,elasticnetinfogain_78boost_finalscore.csv,0.748,0.351,IG-78,LR,boost
15,66,elasticnetmrmr_0_finalscore.csv,0.744,0.288,MRMR,LR,none
16,52,elasticnetmrmr_0bag_finalscore.csv,0.744,0.28,MRMR,LR,bag
17,86,elasticnetmrmr_0boost_finalscore.csv,0.743,0.327,MRMR,LR,boost
18,2,knncfs_0_finalscore.csv,0.738,0.336,CFS,KNN,none
19,0,knncfs_0bag_finalscore.csv,0.745,0.331,CFS,KNN,bag
20,85,knninfogain_20_finalscore.csv,0.746,0.37,IG-20,KNN,none
21,84,knninfogain_20bag_finalscore.csv,0.746,0.366,IG-20,KNN,bag
22,64,knninfogain_40_finalscore.csv,0.746,0.376,IG-40,KNN,none
23,58,knninfogain_40bag_finalscore.csv,0.746,0.371,IG-40,KNN,bag
24,38,knninfogain_60_finalscore.csv,0.746,0.378,IG-60,KNN,none
25,28,knninfogain_60bag_finalscore.csv,0.745,0.368,IG-60,KNN,bag
26,6,knninfogain_78_finalscore.csv,0.747,0.386,IG-78,KNN,none
27,43,knninfogain_78bag_finalscore.csv,0.746,0.37,IG-78,KNN,bag
28,67,knnmrmr_0_finalscore.csv,0.74,0.32,MRMR,KNN,none
29,40,knnmrmr_0bag_finalscore.csv,0.743,0.284,MRMR,KNN,bag
30,21,naive_bayescfs_0_finalscore.csv,0.719,0.446,CFS,NB,none
31,31,naive_bayescfs_0bag_finalscore.csv,0.719,0.446,CFS,NB,bag
32,10,naive_bayescfs_0boost_finalscore.csv,0.746,0.296,CFS,NB,boost
33,18,naive_bayesinfogain_20_finalscore.csv,0.706,0.449,IG-20,NB,none
34,54,naive_bayesinfogain_20bag_finalscore.csv,0.706,0.449,IG-20,NB,bag
35,56,naive_bayesinfogain_20boost_finalscore.csv,0.747,0.296,IG-20,NB,boost
36,39,naive_bayesinfogain_40_finalscore.csv,0.692,0.461,IG-40,NB,none
37,82,naive_bayesinfogain_40bag_finalscore.csv,0.692,0.461,IG-40,NB,bag
38,37,naive_bayesinfogain_40boost_finalscore.csv,0.748,0.313,IG-40,NB,boost
39,59,naive_bayesinfogain_60_finalscore.csv,0.684,0.467,IG-60,NB,none
40,19,naive_bayesinfogain_60bag_finalscore.csv,0.684,0.467,IG-60,NB,bag
41,73,naive_bayesinfogain_60boost_finalscore.csv,0.749,0.424,IG-60,NB,boost
42,72,naive_bayesinfogain_78_finalscore.csv,0.68,0.469,IG-78,NB,none
43,7,naive_bayesinfogain_78bag_finalscore.csv,0.68,0.469,IG-78,NB,bag
44,71,naive_bayesinfogain_78boost_finalscore.csv,0.749,0.487,IG-78,NB,boost
45,12,naive_bayesmrmr_0_finalscore.csv,0.744,0.261,MRMR,NB,none
46,27,naive_bayesmrmr_0bag_finalscore.csv,0.744,0.261,MRMR,NB,bag
47,55,naive_bayesmrmr_0boost_finalscore.csv,0.745,0.252,MRMR,NB,boost
48,5,rdforestcfs_0_finalscore.csv,0.748,0.328,CFS,RF,none
49,33,rdforestcfs_0bag_finalscore.csv,0.748,0.336,CFS,RF,bag
50,30,rdforestcfs_0boost_finalscore.csv,0.748,0.328,CFS,RF,boost
51,17,rdforestinfogain_20_finalscore.csv,0.751,0.334,IG-20,RF,none
52,79,rdforestinfogain_20bag_finalscore.csv,0.75,0.348,IG-20,RF,bag
53,11,rdforestinfogain_20boost_finalscore.csv,0.751,0.334,IG-20,RF,boost
54,42,rdforestinfogain_40_finalscore.csv,0.752,0.333,IG-40,RF,none
55,65,rdforestinfogain_40bag_finalscore.csv,0.751,0.345,IG-40,RF,bag
56,77,rdforestinfogain_40boost_finalscore.csv,0.752,0.333,IG-40,RF,boost
57,68,rdforestinfogain_60_finalscore.csv,0.752,0.33,IG-60,RF,none
58,44,rdforestinfogain_60bag_finalscore.csv,0.751,0.339,IG-60,RF,bag
59,45,rdforestinfogain_60boost_finalscore.csv,0.752,0.33,IG-60,RF,boost
60,76,rdforestinfogain_78_finalscore.csv,0.751,0.328,IG-78,RF,none
61,25,rdforestinfogain_78bag_finalscore.csv,0.752,0.338,IG-78,RF,bag
62,41,rdforestinfogain_78boost_finalscore.csv,0.751,0.328,IG-78,RF,boost
63,53,rdforestmrmr_0_finalscore.csv,0.742,0.278,MRMR,RF,none
64,51,rdforestmrmr_0boost_finalscore.csv,0.742,0.278,MRMR,RF,boost
65,35,svmcfs_0_finalscore.csv,0.746,0.393,CFS,SVM,none
