,P_values,LowerCI,UpperCI,Coefficients
const,0.06264628463163875,-2.2857421929616812,0.058775714407351076,0.32841302530071176
All_Population_Count_2015,0.020047226277837626,0.013752522183448287,0.16124655645276686,1.0914417616353798
Annual_Precipitation_2015,0.0006543840099576247,-0.347351342649791,-0.09370031042618732,0.8020969232074661
Day_Land_Surface_Temp_2015,0.0025976775856083913,-0.3537505760168276,-0.07483595277021535,0.8071116532023908
Diurnal_Temperature_Range_2015,0.6852607706432814,-0.0590507278033172,0.08983921836812907,1.0155133470520987
Enhanced_Vegetation_Index_2015,0.000180773342785715,-0.32922377257041846,-0.10299046617464433,0.8056489966360806
Global_Human_Footprint,0.33445766570212343,-0.048869110800328915,0.14369755939232526,1.0485562566127171
Gross_Cell_Production,0.2199933759235484,-0.1279425268409393,0.0294477006113103,0.9519455767399857
Growing_Season_Length,0.0019127239669627062,0.08470509352802347,0.3750760253197794,1.2584622755563155
Irrigation,0.10891151501232743,-0.013117500619499428,0.13097199473878685,1.0606980690296064
ITN_Coverage_2015,1.5735136569329695e-05,0.10599765239201854,0.28219467603065024,1.214213041181659
Land_Surface_Temperature_2015,0.1560547117029326,-0.23586841290077368,0.03780520152913261,0.9057140818564616
Malaria_Prevalence_2015,0.26633580090866693,-0.029225646526713757,0.10580411254901956,1.0390317116928631
Mean_Temperature_2015,0.11448797404993276,-0.02066789637375499,0.19162548573464303,1.0892384634494774
Nightlights_Composite,0.8762075185068725,-0.13279247960834703,0.11323789865310391,0.9902703518295999
Proximity_to_Water,0.013831874047217783,-0.24685977292749353,-0.028006787998325483,0.8715925003054074
V025,0.7609071786227717,-0.22131058234896267,0.302658146645242,1.0415122902195786
ToiletNew,0.8050234750193931,-0.2048224195089675,0.1590001511952775,0.977349332886784
HIV,0.1168653378489858,-0.9297050755394143,0.10327231049524083,0.6615191261631791
HouseholdAmenities,0.8633072841503896,-0.15701950823939165,0.13166141694218786,0.9874009948146633
AnyTransportation,0.7769293946203049,-0.290816795125104,0.21735759105680927,0.9639367466485873
FloorNew,0.3678697509967851,-0.11503802031376864,0.31058129035541565,1.1027109357929303
V151,0.8702191227213434,-0.1518496083817612,0.1284815515083806,0.988383964754467
V404,0.5736874019156917,-0.14865586551457546,0.0823446334192176,0.9673880067769324
PotatoesBeansLentils,0.34039206428980906,-0.1898307832581838,0.06558712262302968,0.9397683875353879
MeatorFishNew,0.6493023545941523,-0.333000653526116,0.20758035871356734,0.9392156683366004
AnyFruitNew,0.5238566346008868,-0.224464054967271,0.11429436703984969,0.9464048478084777
anyDairyNew,0.04671504596720975,-0.2658108730014512,-0.0019460800505555764,0.8746963542845224
AnyVegetables,0.18391726634468408,-0.2706017808454442,0.05193359218076617,0.896430874988627
MaternalAnemia,7.844138754546939e-11,0.2630247185633115,0.48994587667512984,1.4571541156320575
B4,0.016091361640135006,-0.22856650664478692,-0.02339015462799629,0.8816339510230812
ChildIPdrugs,0.12304198562612818,-0.27267459240937486,0.03253273218664057,0.8868575295828387
M45,0.4504581995901089,-0.15327114305422296,0.06805370954187936,0.9582862780819523
ChildAgeGroups_1.0,7.601318078461834e-06,0.37836604676491026,0.9678247184826879,1.9602958047067829
ChildAgeGroups_2.0,2.2149873081215827e-09,0.4338260491479199,0.8567225303824645,1.906509893711545
ChildAgeGroups_3.0,6.856045824736248e-05,0.1751402071607621,0.5147976489266126,1.4119460470601686
ChildAgeGroups_4.0,0.0173181105983432,0.033707296931412584,0.34836322586908586,1.210502135329056
ChildAgeGroups_5.0,0.4893474840028723,-2.674570309740842,1.2797462184670443,0.4978721082724455
V024_1.0,2.773877829361378e-07,-1.2827609910387099,-0.5743618620482103,0.3951217133255509
V024_2.0,0.099637530434201,-0.6993668173077492,0.060763145504275196,0.726656185277098
V024_3.0,9.81908942953865e-10,-1.6452665097969275,-0.8463199610738468,0.2877125937646379
V024_4.0,0.009067079002704728,-0.8929576854259076,-0.12693377708618364,0.600528167837353
V024_5.0,0.01762447138847197,0.0815401104086178,0.8546225518779504,1.596927277326761
V024_6.0,0.00020511192131491347,-1.2968848935837838,-0.40070050933099133,0.4279312609920945
V024_7.0,1.1456916598015367e-06,-1.5170760973943982,-0.6457164622605385,0.3391216861462324
V024_8.0,0.1193265914501322,-0.8585156573909635,0.09820139815107476,0.6837539627707621
V024_9.0,0.061513625423566795,-0.8365949035157785,0.019699186978769156,0.6646811292129294
V024_10.0,0.09860159033028412,-1.0470047283843131,0.089373358805869,0.6195166605141689
V106_1.0,0.9481008017065714,-0.1351238302021818,0.14440727663106487,1.0046525126991157
V106_2.0,0.4370120387753652,-0.3687527309106997,0.15933342669801023,0.9005859678682115
V106_3.0,0.26759336183574944,-0.5945999489219453,0.16496459320146023,0.806688503944586
HusbandEducationNew_1.0,0.7556206942825128,-0.10647870227468449,0.14667950282924325,1.0203037736662721
HusbandEducationNew_2.0,0.9746358417876372,-0.20854410252051792,0.20188608757013993,0.9966765275264718
HusbandEducationNew_3.0,0.039495627958676935,0.013414717682518396,0.5444581888169173,1.3217233499771348
MaternalOccNew_1.0,0.15231385040143727,-0.04639504882435791,0.29768318321458137,1.1338785118908707
MaternalOccNew_2.0,0.027311978553799753,0.017438554972177944,0.29411739650027174,1.1685667241190265
HusbandOccNew_1.0,0.40954859975537017,-0.1920092092154387,0.07828029338362083,0.9447221102925762
HusbandOccNew_2.0,0.3776287639082613,-0.2929473302390922,0.11107672488203939,0.9130767826104891
WaterSourceNew_1.0,0.6345386183406916,-0.27622086605424667,0.45310324932464896,1.0924700043467828
WaterSourceNew_2.0,0.11664087513132142,-0.02361405984839572,0.21316629759110112,1.0994126898174021
TimetoWaterNew_1.0,0.8551086894411359,-0.2806788629290343,0.3383521600353201,1.0292564502118713
TimetoWaterNew_2.0,0.6987779903925906,-0.37410183901244465,0.25073546408775294,0.9401807006466416
ReligionRecode_1.0,0.08800954393420234,-0.671515206002615,0.04652154941946279,0.731617949421775
ReligionRecode_2.0,0.30609546175493096,-0.5262995485101042,0.16520917868148946,0.8348149588023437
ReligionRecode_3.0,0.5309472813366616,-0.46437040278689473,0.2393919038841567,0.8936069538218909
HouseholdNumGroup_1.0,0.8850954614431237,-0.13493720893979164,0.15641965949562273,1.010799119336854
HouseholdNumGroup_2.0,0.9598303039052869,-0.2627218898552242,0.2495574961652594,0.9934394183614873
V158_1.0,0.30509935744777505,-0.2676147760758225,0.0837576781546435,0.9121703227343954
V158_2.0,0.10989453427855433,-0.3302004124072976,0.033524207387711336,0.8621395741056813
V159_1.0,0.5218356211429198,-0.1389767748377173,0.27390796950027274,1.0697934552149801
V159_2.0,0.7058771319581661,-0.29878681280696906,0.20230044104365405,0.9529020265787396
V157_1.0,0.6298680201091011,-0.19360446362717437,0.3198523556310317,1.0651588532311096
V157_2.0,0.32198549518803554,-0.20991701967557616,0.6387610580930959,1.2391454876611772
V190_1.0,0.0039673001441852705,0.14076672521453393,0.7400322806460787,1.553327653519589
V190_2.0,0.06217062858670805,-0.01413092877560379,0.5696388461520883,1.3201613430183905
V190_3.0,0.4686523626921215,-0.18029642678619104,0.3918353987133386,1.111565615495005
V190_4.0,0.27021500101015006,-0.11968158241451643,0.4274902660500357,1.1663793077174205
BirthSizeGrouped_1.0,0.7416398926360575,-0.10124703492137646,0.142196249603179,1.020685649991371
BirthSizeGrouped_2.0,0.1989956173072044,-0.04903551400429705,0.2354984563540951,1.0977157954280188
BirthSizeGrouped_3.0,0.31023058786817115,-0.8218584743723854,0.26114940433920625,0.7555158371479457
HeightNew_1.0,2.3361988411399293e-07,0.4779961134726289,1.0616310673800216,2.159363690200329
HeightNew_2.0,3.832540717474599e-08,0.36985067414220923,0.7795763945695566,1.7766215129839484
WeightGroupNew_1.0,0.026596498766547887,0.120643112597835,1.957728444405447,2.8269143426045855
WeightGroupNew_2.0,0.34822305564194667,-0.47089052669963105,1.3353688241216521,1.5407035283694581
WeightGroupNew_3.0,0.6028916498742565,-0.6609708427110841,1.1386589146046306,1.269780481028935
WeightGroupNew_4.0,0.05922281748891995,-0.04199041561647454,2.1996410340894412,2.941222494079358
BirthOrderGrouped_1.0,0.11838915206603942,-0.03244671562110038,0.2868076464964622,1.1356219398006655
BirthOrderGrouped_2.0,0.030826328149218304,0.022091280534833335,0.45649859664483944,1.2703531575049065
V013_1.0,0.039492034963107825,0.02599066597036137,1.0544839855993207,1.7164141631898227
V013_2.0,0.037063993361544194,0.02605496274996083,0.8425064342895217,1.5438521643180643
V013_3.0,0.021926284814223904,0.06502333393957949,0.8334989066472789,1.5671538194420254
V013_4.0,0.04236842521176808,0.013319229351416662,0.7600454026729855,1.4720887579543551
V013_5.0,0.11181543148578232,-0.06977528890517293,0.6696957916886441,1.3498051536333904
V013_6.0,0.40576898424852637,-0.22771256420585742,0.5631925614369044,1.1826290854715127
