,P_values,LowerCI,UpperCI,Coefficients
const,1.0510715731254324e-07,-0.3509005995564244,-0.16189604707992944,0.7738336713995955
ChildAgeGroups_1.0,1.4882032056274573e-60,1.3520534756750004,1.7186986069003845,4.643071188182058
ChildAgeGroups_2.0,5.3762430351212504e-62,1.0494913809498603,1.3301983629068426,3.2865713283633617
ChildAgeGroups_3.0,9.304137753887526e-27,0.6066934669898155,0.8785384256076495,2.1014255469301326
ChildAgeGroups_4.0,6.385813949267827e-09,0.26504694978335874,0.5351631381853462,1.491981413082329
ChildAgeGroups_5.0,0.46904987712870416,-1.129824701069373,2.453551563922056,1.9384010484927892
const,2.9359472761748273e-16,0.7340937356381815,1.1970298261237022,2.626262626262637
V024_1.0,7.989943587315343e-10,-1.1110358221123098,-0.5736969730618522,0.43069013248961674
V024_2.0,0.28803404212918726,-0.13066289065504405,0.4400088342557111,1.1672761664564897
V024_3.0,4.1257524429579046e-20,-1.5433085249249827,-1.000479778009281,0.2803001876172596
V024_4.0,0.0045852055442705065,-0.6346503339967755,-0.11579785437766027,0.6871352785145858
V024_5.0,0.00013753271805596234,0.26576608887279807,0.8281022838490587,1.7279473244147094
V024_6.0,6.06602050068771e-19,-1.5403291228161287,-0.9838734915174387,0.28305860805860694
V024_7.0,2.4116717308408234e-12,-1.2021521998284332,-0.6767070813797541,0.3908506971643413
V024_8.0,3.746024870513482e-05,-0.9032889708272953,-0.32116250558815346,0.5421428571428548
V024_9.0,0.08186854732758692,-0.5963563790948865,0.03546283505836517,0.7554461538461509
V024_10.0,1.7118410666406923e-10,-1.3734255346398563,-0.7282931881458172,0.3496371552975313
const,2.5449858111392717e-70,0.4569638547499044,0.5705641941560837,1.67157120336311
V106_1.0,0.00012655890447760021,-0.31228568471470797,-0.10097336743408718,0.8133209083696359
V106_2.0,6.001076857313993e-06,-0.6182199450207433,-0.24460603356160565,0.649590581416215
V106_3.0,2.4314874397196966e-06,-0.8790125930133346,-0.36271172700538773,0.5374808432882745
const,1.9231472585455975e-56,0.44633208878667796,0.5724710774820765,1.6642949547218635
HusbandEducationNew_1.0,0.00022090138342534228,-0.29415084503233374,-0.09020813018255575,0.8251587494296148
HusbandEducationNew_2.0,0.006359228351472499,-0.3866395910473647,-0.0633892221115325,0.7985047149548959
HusbandEducationNew_3.0,0.020586799306357477,-0.4052049112977963,-0.033693812998318584,0.8029608168745358
const,0.02799998645883537,0.011741425279109277,0.20567805362230934,1.1148387096774202
MaternalOccNew_1.0,0.7872464409723556,-0.15626795293026477,0.11844047226227697,0.9812640020973354
MaternalOccNew_2.0,1.8872609635988647e-20,0.4279082720790005,0.6574155695648048,1.7205808216399372
const,8.553872906947264e-27,0.32719642695375617,0.4736750924525699,1.4924749163879607
HusbandOccNew_1.0,0.6133800397572616,-0.12117801361262354,0.071506355896446,0.9754700429143832
HusbandOccNew_2.0,0.0014514409498405608,0.10489665213964605,0.4407634484662605,1.3136769668497312
const,5.457206223431428e-49,0.4687273921181777,0.6128206602316902,1.7173356105892388
WaterSourceNew_1.0,2.684810287540987e-08,-0.5533425957202354,-0.26493414171038543,0.664222318374482
WaterSourceNew_2.0,0.001374479115526543,-0.25776448212568637,-0.061944016698330134,0.8522679984760914
const,0.0008523324584908396,0.0782086743592648,0.30112958248943605,1.2088495575221254
TimetoWaterNew_1.0,0.00356430406257894,0.06285030687641324,0.32099402668141747,1.211576212415733
TimetoWaterNew_2.0,8.795573632946015e-08,0.23450656486288401,0.505668781939464,1.4478615480452486
const,0.003977629729339119,0.13654293080050395,0.7183450988533676,1.5333333333333274
ReligionRecode_1.0,0.0004304233161110282,-0.844377049518723,-0.24045342854211288,0.5813424743782595
ReligionRecode_2.0,0.13405687698162969,-0.5454595769357199,0.0728176738069464,0.7895272332632469
