,P_values,LowerCI,UpperCI,Coefficients
const,0.00022582713610502924,-1.7060676203972431,-0.5220303131507358,0.32822728556597525
All_Population_Count_2015,0.06997665323138198,-0.004361064130566965,0.11122244400412859,1.0548838751656857
Annual_Precipitation_2015,0.006150419363409233,-0.24410018757071963,-0.04049736667122658,0.8673620698262562
Day_Land_Surface_Temp_2015,0.6709023172091453,-0.08429088498111975,0.1309550876396518,1.0236064241601366
Diurnal_Temperature_Range_2015,0.03497351087179132,-0.12325610296069534,-0.004504786189632716,0.9381171498209009
Enhanced_Vegetation_Index_2015,0.13383140694841356,-0.15179326386926223,0.02022085999479241,0.9363310286535129
Global_Human_Footprint,0.8403054959589151,-0.09552980787493445,0.07771827569134246,0.9911337727813355
Gross_Cell_Production,0.01910062455577645,-0.1487735333745897,-0.013261017569758712,0.9221777602507621
Growing_Season_Length,0.008751808607467349,0.034854448989511025,0.2413530812374341,1.1480946762678708
Irrigation,0.05316772411883052,-0.0005629034340243338,0.08299336866862433,1.0420763702346678
ITN_Coverage_2015,0.0012977742766988878,0.041857314912809473,0.17243963042688817,1.1130995070668972
Land_Surface_Temperature_2015,0.3407390765918312,-0.16848517545251643,0.05826545744627546,0.9463811737500171
Malaria_Prevalence_2015,0.03598064345639427,0.003272646618548161,0.09678730219489536,1.0513026080757115
Mean_Temperature_2015,0.12750422307573614,-0.01836409053622587,0.14676165712900507,1.066304341187396
Nightlights_Composite,0.6502513774582519,-0.08538665330949252,0.13678274808379512,1.0260310889261812
Proximity_to_Water,0.03942798064839646,-0.15919687390895287,-0.0039496939954299926,0.9216651641130846
V025,0.2464503727008711,-0.080120204113795,0.31199607881877495,1.1229261781990048
HannahToilet,0.2553087086351066,-0.20512237433326092,0.05446163602292094,0.9274370391199
HIV,1.9199428975513105e-07,0.4559298217438227,1.0063556904497668,2.0774532741212033
HouseholdAmenities,0.09271343846945979,-0.016539542224199733,0.21608217113569117,1.1049182103591557
TransportationAccess,0.24256273892977753,-0.07094322024780637,0.2804679384325951,1.1104466914383806
