,P_values,LowerCI,UpperCI,Coefficients
const,0.0,-1.4928147292724905,-1.3462252882239296,0.24183006535947735
WaterTime_1.0,1.30998056403799e-28,0.42983799610054874,0.6142626764361125,1.685479909931173
WaterTime_2.0,4.550725477991027e-46,0.6189439520608098,0.8163740509466713,2.0496294106252595
const,1.5648537309860611e-288,-1.3991934487636606,-1.2558424005323794,0.2651345291479825
MaternalOccRecode_1.0,7.458019153407774e-06,0.14735554293653846,0.37655143711568245,1.2994661028893562
MaternalOccRecode_2.0,1.1391504304686272e-34,0.4570313495635209,0.6306039512000517,1.722570497297692
const,0.0,-1.2168206375371198,-1.1190642474743666,0.3110061965181471
HusbandOccNew_1.0,1.3985281284084823e-20,0.29538425297315873,0.4531238124746836,1.453906443362759
HusbandOccNew_2.0,9.66127873517408e-25,0.5958069579974967,0.8768689343915905,2.0882741226441204
const,2.7617184484138397e-08,-1.061538941637678,-0.5078898065331967,0.4562499999999993
HannahReligion_1.0,2.3520562621206316e-07,-1.0355465810013598,-0.4661506975274455,0.47196585398556495
HannahReligion_2.0,0.0421407938680441,-0.591224663894035,-0.010687279853294707,0.740110357701706
HannahReligion_3.0,0.04670591721767813,0.004171885133710529,0.568215485885941,1.3313502935420767
const,2.722450231916603e-305,-1.2421773779385599,-1.1183033972414615,0.30720488148322034
HannahHouseholdNum_1.0,2.408929694147365e-13,0.21394715157952957,0.37029870966686795,1.3392676445264151
HannahHouseholdNum_2.0,7.400022180576702e-07,0.2535916923081454,0.5859873579597719,1.5216412546729265
const,0.0,-0.8860992296783177,-0.7988837084252041,0.4306362688123978
V158_1.0,8.146028780031752e-16,-0.5403242623195152,-0.32877387573039263,0.6475566045823579
V158_2.0,4.63237550680267e-20,-0.6064871088460456,-0.3929280355597653,0.6067080520732879
const,0.0,-0.9329929532418992,-0.8547199697165868,0.4090751244356983
V157_1.0,3.6330831640407696e-29,-0.9094742164073496,-0.6387813637319589,0.461105786702899
V157_2.0,6.20224415856368e-06,-0.6676072601907663,-0.2637123009277429,0.6277208105454563
const,7.360028469376119e-282,-0.8395701999289203,-0.7525869042771925,0.45109444359406053
V159_1.0,2.4143092400539363e-12,-0.565041429433268,-0.31806494430343457,0.6430368886024753
V159_2.0,1.4245740844725795e-45,-0.8053132506695632,-0.6095930334656133,0.492897941261165
const,0.0,-1.5179089097897405,-1.3771567278420418,0.23514972999509068
V190_1.0,9.245328680620563e-113,1.013103136959422,1.2058229884569636,3.032729571583993
V190_2.0,5.819176042647119e-16,0.37939304134134344,0.6218802343899731,1.6497712432816602
V190_3.0,5.324415188476247e-09,0.24702269228167256,0.49679740446328774,1.4505025003641314
V190_4.0,0.015483942917800912,0.030291180432786946,0.2879195141264936,1.1724614557997801
const,0.0,-1.3245245995262647,-1.2163587698020601,0.2807076101468624
HannahRecentBirths_1.0,1.0565770109074868e-40,0.4392590854987608,0.590319049472136,1.6732855142494794
HannahRecentBirths_2.0,4.3710988870745834e-32,0.9576247161607638,1.3394790179494873,3.153622736398902
const,0.0,-1.4114294916614307,-1.2722102503746977,0.2613695765812851
HannahAllChildrenBorn_1.0,2.43664247195851e-13,0.2583761340468981,0.44725020780703884,1.42306524863467
HannahAllChildrenBorn_2.0,1.7730342132683633e-44,0.5617543515780075,0.7447864478354895,1.9218156682027712
const,0.0,-0.9154064464524921,-0.8346827989213012,0.41684341859014357
HannahContraception_1.0,0.000774174395070606,-0.9185232921426407,-0.24196192769725028,0.559762546143869
HannahContraception_2.0,0.6313092206712603,-0.4091124315728496,0.24817878689177028,0.9226855156217622
HannahContraception_3.0,8.859057811247813e-32,-0.7356979733489599,-0.5250539419227302,0.5323916066871698
const,2.590858956727483e-94,-0.8230298260121479,-0.6800411715840512,0.47164179104477616
HannahBMI_1.0,1.1685987800447724e-10,-0.36484067025802064,-0.19465209107770648,0.7559754471325784
HannahBMI_2.0,1.5847900346621912e-14,-0.6630095323759551,-0.3934216964538755,0.5896562055276758
const,2.7426913252324837e-143,-0.7133124259315217,-0.6114386178548613,0.5156250000000001
V106_1.0,3.9587850901318715e-34,-0.6033401312762312,-0.436083581906481,0.5946918798302829
V106_2.0,1.2587009272665399e-34,-0.8856677585569868,-0.6417509897235969,0.46593489070269256
V106_3.0,1.88488739330394e-31,-1.236391094443316,-0.880724695089186,0.34695579649708086
const,1.9537993856208207e-117,-0.7835918165693607,-0.6607154108348989,0.4857051076132348
HannahWater_1.0,4.775763721757821e-46,-0.8378955962220124,-0.6352186184904532,0.4787593984962407
HannahWater_2.0,3.8868201316321066e-07,-0.299018137436757,-0.13238951002484545,0.805973976892344
const,5.310305900367508e-49,-1.2762804887472838,-0.9762203342291952,0.32424677187948303
V013_1.0,0.6685876651708926,-0.20815449319512686,0.13352605326268946,0.9633733766352658
V013_2.0,0.16662330518763524,-0.05084733754275282,0.294693711961172,1.129667325547659
V013_3.0,0.013838565265112287,0.044009979552837836,0.388035421830098,1.2411305532026433
V013_4.0,0.0024179204694841625,0.09685973506877668,0.4505586224873108,1.3148323654758614
V013_5.0,0.01626502932189657,0.04110006296270263,0.4048192684913462,1.2497701641484162
V013_6.0,0.092594110010718,-0.02777776638923035,0.36376872741933497,1.1829312643956862
const,1.8416021390595966e-32,-0.975083670602973,-0.6985694504368446,0.43308270676691707
V024_1.0,6.626172440293748e-08,-0.6899634358121542,-0.3225389623882453,0.602750941990887
V024_2.0,8.58326627193903e-13,0.4884401785832353,0.8572422244458822,1.9597975978647695
V024_3.0,1.0921794533521937e-13,-0.8937962486850023,-0.5206427365166665,0.4930131200575129
V024_4.0,0.053504168488082544,-0.343807149492943,0.002574467473128228,0.8431449915824921
V024_5.0,2.137558425264246e-38,0.9981275047303808,1.3539048755048633,3.241435185185188
V024_6.0,3.1476184202054756e-08,-0.7902399375736454,-0.376828772753531,0.55792297979798
V024_7.0,5.857981176929602e-07,-0.635176514328383,-0.27722426128553124,0.6336868412583477
V024_8.0,0.2865280008792265,-0.30271862558509643,0.08946242499495718,0.8988598965679357
V024_9.0,0.17235322556507182,-0.35976048763595475,0.06441564487439455,0.8627136752136755
V024_10.0,2.387565245795933e-17,-1.023255575792345,-0.6387997338784506,0.43560140833538064
