,Gauss,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,100,"[137, 173, 108, 362]","[248, 63, 249, 220]","[170, 141, 126, 343]","[252, 59, 210, 259]","[236, 75, 214, 255]","[252, 58, 261, 208]",[2220  884 2037 2654],[2128  976 1915 2776],[2250  854 2038 2653],[2303  801 2118 2573],[2335  769 2208 2483]
1,1,200,"[137, 173, 109, 361]","[248, 63, 249, 220]","[170, 141, 124, 345]","[236, 75, 195, 274]","[241, 70, 216, 253]","[251, 59, 261, 208]",[2209  895 2023 2668],[2138  966 1929 2762],[2271  833 2058 2633],[2309  795 2128 2563],[2330  774 2196 2495]
2,1,300,"[138, 172, 109, 361]","[245, 66, 247, 222]","[171, 140, 126, 343]","[241, 70, 197, 272]","[245, 66, 226, 243]","[250, 60, 261, 208]",[2218  886 2036 2655],[2135  969 1921 2770],[2267  837 2058 2633],[2308  796 2125 2566],[2327  777 2185 2506]
3,1,400,"[137, 173, 109, 361]","[247, 64, 247, 222]","[171, 140, 124, 345]","[245, 66, 202, 267]","[246, 65, 229, 240]","[250, 60, 261, 208]",[2226  878 2041 2650],[2140  964 1920 2771],[2264  840 2057 2634],[2309  795 2129 2562],[2326  778 2175 2516]
4,1,500,"[137, 173, 109, 361]","[245, 66, 246, 223]","[171, 140, 123, 346]","[244, 67, 200, 269]","[248, 63, 232, 237]","[250, 60, 261, 208]",[2225  879 2042 2649],[2139  965 1923 2768],[2266  838 2058 2633],[2309  795 2128 2563],[2326  778 2181 2510]
5,1,800,"[137, 173, 107, 363]","[247, 64, 247, 222]","[169, 142, 124, 345]","[245, 66, 203, 266]","[246, 65, 227, 242]","[250, 60, 261, 208]",[2224  880 2040 2651],[2141  963 1923 2768],[2260  844 2053 2638],[2306  798 2122 2569],[2331  773 2184 2507]
6,1,1000,"[136, 174, 107, 363]","[248, 63, 247, 222]","[169, 142, 124, 345]","[245, 66, 203, 266]","[246, 65, 227, 242]","[250, 60, 261, 208]",[2224  880 2040 2651],[2140  964 1923 2768],[2263  841 2054 2637],[2308  796 2123 2568],[2331  773 2187 2504]
7,0,100,"[200, 110, 152, 318]","[190, 121, 157, 312]","[211, 100, 139, 330]","[209, 102, 129, 340]","[201, 110, 160, 309]","[192, 118, 156, 313]",[2002 1102 1514 3177],[1974 1130 1520 3171],[1970 1134 1508 3183],[1981 1123 1505 3186],[2001 1103 1539 3152]
8,0,200,"[201, 109, 152, 318]","[190, 121, 157, 312]","[211, 100, 138, 331]","[208, 103, 130, 339]","[202, 109, 161, 308]","[192, 118, 156, 313]",[2003 1101 1519 3172],[1972 1132 1517 3174],[1973 1131 1507 3184],[1982 1122 1510 3181],[2002 1102 1543 3148]
9,0,300,"[201, 109, 152, 318]","[191, 120, 158, 311]","[211, 100, 138, 331]","[207, 104, 131, 338]","[202, 109, 162, 307]","[192, 118, 156, 313]",[2004 1100 1522 3169],[1975 1129 1519 3172],[1972 1132 1506 3185],[1982 1122 1506 3185],[2001 1103 1543 3148]
10,0,400,"[201, 109, 152, 318]","[193, 118, 158, 311]","[211, 100, 138, 331]","[208, 103, 131, 338]","[203, 108, 161, 308]","[192, 118, 155, 314]",[2007 1097 1519 3172],[1975 1129 1518 3173],[1971 1133 1507 3184],[1980 1124 1511 3180],[2001 1103 1543 3148]
11,0,500,"[201, 109, 152, 318]","[193, 118, 158, 311]","[211, 100, 138, 331]","[208, 103, 131, 338]","[203, 108, 160, 309]","[191, 119, 155, 314]",[2006 1098 1517 3174],[1975 1129 1520 3171],[1970 1134 1506 3185],[1981 1123 1509 3182],[1999 1105 1542 3149]
12,0,800,"[201, 109, 153, 317]","[193, 118, 158, 311]","[211, 100, 138, 331]","[207, 104, 130, 339]","[203, 108, 160, 309]","[191, 119, 155, 314]",[2005 1099 1518 3173],[1976 1128 1520 3171],[1970 1134 1507 3184],[1981 1123 1504 3187],[2002 1102 1542 3149]
13,0,1000,"[201, 109, 152, 318]","[193, 118, 158, 311]","[211, 100, 138, 331]","[207, 104, 130, 339]","[203, 108, 160, 309]","[191, 119, 155, 314]",[2005 1099 1517 3174],[1975 1129 1519 3172],[1970 1134 1510 3181],[1981 1123 1506 3185],[2001 1103 1543 3148]
