,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[130, 180, 70, 400]",0.6746375881975626,0.6861069155368467,0.8467277765934769,0.758000729123624
1,25,0.2,"[150, 160, 90, 380]",0.6843104554201411,0.7057645973721645,0.8153485397569813,0.7566078861185597
2,25,0.3,"[152, 158, 96, 374]",0.6862347658755613,0.709944561663953,0.8092517586868471,0.7563505882752333
3,25,0.4,"[10, 300, 3, 467]",0.6071327774214239,0.605378322167063,0.9972287358772116,0.7533981906194501
4,25,0.5,"[0, 310, 2, 468]",0.6023091725465042,0.6021942010971892,0.9992752078448092,0.7515069947678168
5,50,0.1,"[150, 160, 90, 380]",0.6843104554201411,0.7054027066475681,0.8163717757407802,0.7568390368841507
6,50,0.2,"[157, 153, 95, 375]",0.6864143681847338,0.7113650358246175,0.8059262417395011,0.7556971541942602
7,50,0.3,"[157, 153, 96, 374]",0.6862347658755613,0.7121331342316111,0.8033681517800042,0.7550034814332414
8,50,0.4,"[302, 8, 409, 61]",0.4509557408595254,0.867285377355247,0.10347473886164997,0.1848485222459256
9,50,0.5,"[310, 0, 470, 0]",0.3982809493264913,0.4861904761904762,0.0005116179918993818,0.0010220559266508778
10,75,0.1,"[151, 159, 96, 374]",0.6860295060936498,0.7100622115562476,0.8083564272010232,0.7560266078256734
11,75,0.2,"[157, 153, 96, 374]",0.686286080821039,0.7121229039276606,0.8035386911106374,0.7550729452445668
12,75,0.3,"[158, 152, 94, 376]",0.6877228992944195,0.7139577366503868,0.8026859944574717,0.7557254512891212
13,75,0.4,"[12, 298, 3, 467]",0.6095958948043618,0.6070084439998609,0.9962907695587295,0.7543905073396823
14,75,0.5,"[1, 309, 2, 468]",0.60241180243746,0.6022771130785751,0.9991046685141761,0.7515233134648531
