,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[133, 177, 68, 402]","[129, 182, 74, 395]","[138, 173, 72, 397]","[128, 183, 59, 410]","[123, 188, 75, 394]","[134, 176, 77, 392]",[1304 1800  727 3964],[1305 1799  731 3960],[1303 1801  720 3971],[1294 1810  730 3961],[1306 1798  722 3969]
1,25,0.2,"[152, 158, 83, 387]","[148, 163, 87, 382]","[162, 149, 84, 385]","[150, 161, 76, 393]","[150, 161, 94, 375]","[149, 161, 88, 381]",[1517 1587  872 3819],[1512 1592  864 3827],[1509 1595  860 3831],[1506 1598  868 3823],[1512 1592  868 3823]
2,25,0.3,"[22, 288, 5, 465]","[18, 293, 4, 465]","[23, 288, 9, 460]","[11, 300, 5, 464]","[26, 285, 9, 460]","[25, 285, 8, 461]",[ 206 2898   72 4619],[ 217 2887   76 4615],[ 211 2893   71 4620],[ 203 2901   78 4613],[ 205 2899   70 4621]
3,25,0.4,"[1, 309, 2, 468]","[2, 309, 0, 469]","[0, 311, 1, 468]","[0, 311, 0, 469]","[2, 309, 0, 469]","[1, 309, 1, 468]",[  12 3092    5 4686],[  10 3094    5 4686],[   9 3095    4 4687],[  12 3092    4 4687],[  12 3092    3 4688]
4,25,0.5,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[1, 309, 0, 469]",[   1 3103    1 4690],[   2 3102    0 4691],[   2 3102    0 4691],[   2 3102    1 4690],[   1 3103    0 4691]
5,50,0.1,"[152, 158, 83, 387]","[146, 165, 87, 382]","[162, 149, 84, 385]","[150, 161, 76, 393]","[150, 161, 94, 375]","[149, 161, 87, 382]",[1515 1589  869 3822],[1506 1598  862 3829],[1503 1601  854 3837],[1503 1601  863 3828],[1510 1594  867 3824]
6,50,0.2,"[161, 149, 86, 384]","[153, 158, 94, 375]","[167, 144, 89, 380]","[152, 159, 79, 390]","[161, 150, 98, 371]","[152, 158, 99, 370]",[1583 1521  914 3777],[1578 1526  913 3778],[1572 1532  908 3783],[1570 1534  917 3774],[1581 1523  914 3777]
7,50,0.3,"[286, 24, 309, 161]","[268, 43, 289, 180]","[276, 35, 282, 187]","[290, 21, 288, 181]","[282, 29, 284, 185]","[270, 40, 302, 167]",[2780  324 2945 1746],[2794  310 2953 1738],[2786  318 2957 1734],[2792  312 2949 1742],[2786  318 2935 1756]
8,50,0.4,"[309, 1, 470, 0]","[310, 1, 469, 0]","[311, 0, 467, 2]","[311, 0, 469, 0]","[309, 2, 468, 1]","[310, 0, 468, 1]",[3100    4 4684    7],[3100    4 4680   11],[3097    7 4684    7],[3098    6 4683    8],[3099    5 4685    6]
9,50,0.5,"[310, 0, 470, 0]","[311, 0, 469, 0]","[311, 0, 469, 0]","[311, 0, 469, 0]","[311, 0, 469, 0]","[310, 0, 469, 0]",[3104    0 4691    0],[3104    0 4691    0],[3104    0 4691    0],[3104    0 4691    0],[3104    0 4691    0]
10,75,0.1,"[160, 150, 85, 385]","[154, 157, 91, 378]","[165, 146, 86, 383]","[151, 160, 78, 391]","[159, 152, 97, 372]","[149, 161, 98, 371]",[1570 1534  900 3791],[1561 1543  908 3783],[1548 1556  894 3797],[1558 1546  905 3786],[1562 1542  902 3789]
11,75,0.2,"[161, 149, 90, 380]","[154, 157, 95, 374]","[167, 144, 89, 380]","[155, 156, 81, 388]","[161, 150, 100, 369]","[159, 151, 102, 367]",[1601 1503  922 3769],[1594 1510  925 3766],[1592 1512  919 3772],[1590 1514  930 3761],[1584 1520  914 3777]
12,75,0.3,"[28, 282, 13, 457]","[30, 281, 5, 464]","[34, 277, 16, 453]","[21, 290, 6, 463]","[36, 275, 12, 457]","[32, 278, 9, 460]",[ 304 2800  104 4587],[ 316 2788  102 4589],[ 307 2797  102 4589],[ 303 2801  112 4579],[ 305 2799  109 4582]
13,75,0.4,"[1, 309, 2, 468]","[3, 308, 0, 469]","[0, 311, 1, 468]","[0, 311, 0, 469]","[2, 309, 0, 469]","[4, 306, 1, 468]",[  16 3088    5 4686],[  16 3088    5 4686],[  16 3088    5 4686],[  16 3088    4 4687],[  19 3085    5 4686]
14,75,0.5,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[1, 309, 0, 469]",[   2 3102    0 4691],[   2 3102    0 4691],[   2 3102    0 4691],[   2 3102    0 4691],[   2 3102    0 4691]
