,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[0, 310, 1, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[41, 270, 15, 454]","[0, 310, 0, 469]",[  41 3063   16 4675],[   0 3104    0 4691],[   0 3104    1 4690],[   0 3104    0 4691],[   0 3104    0 4691]
1,25,0.2,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[80, 231, 47, 422]","[152, 158, 119, 350]",[1401 1703  978 3713],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1400 1704  997 3694]
2,25,0.3,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[144, 167, 101, 368]","[152, 158, 119, 350]",[1465 1639 1032 3659],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
3,25,0.4,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[144, 167, 102, 367]","[152, 158, 119, 350]",[1465 1639 1033 3658],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
4,25,0.5,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 106, 363]","[152, 158, 119, 350]",[1467 1637 1037 3654],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
5,50,0.1,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[80, 231, 47, 422]","[152, 158, 119, 350]",[1401 1703  978 3713],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1400 1704  997 3694]
6,50,0.2,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[144, 167, 102, 367]","[152, 158, 119, 350]",[1465 1639 1033 3658],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
7,50,0.3,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 106, 363]","[152, 158, 119, 350]",[1467 1637 1037 3654],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
8,50,0.4,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]",[1467 1637 1039 3652],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
9,50,0.5,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]",[1467 1637 1039 3652],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
10,75,0.1,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[144, 167, 101, 368]","[152, 158, 119, 350]",[1465 1639 1032 3659],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
11,75,0.2,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 106, 363]","[152, 158, 119, 350]",[1467 1637 1037 3654],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
12,75,0.3,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]",[1467 1637 1039 3652],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
13,75,0.4,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]",[1467 1637 1039 3652],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
14,75,0.5,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]",[1467 1637 1039 3652],[1466 1638 1022 3669],[1471 1633 1027 3664],[1474 1630 1033 3658],[1468 1636 1029 3662]
