,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[0, 310, 1, 469]",0.6024118024374598,0.6022588566518318,0.9992752078448092,0.7515558362556345
1,25,0.2,"[144, 166, 98, 372]",0.657087876844131,0.688941416224681,0.7843956512470689,0.7335575566605349
2,25,0.3,"[144, 166, 98, 372]",0.6582681205901219,0.6913320914324577,0.7807290556384565,0.7333158385272547
3,25,0.4,"[144, 166, 98, 372]",0.6582424631173829,0.6913204107821498,0.7806864208057982,0.7332904601905799
4,25,0.5,"[144, 166, 98, 372]",0.658191148171905,0.6913258342348075,0.7805158814751652,0.7332182276489773
5,50,0.1,"[144, 166, 98, 372]",0.657087876844131,0.688941416224681,0.7843956512470689,0.7335575566605349
6,50,0.2,"[144, 166, 98, 372]",0.6582424631173829,0.6913204107821498,0.7806864208057982,0.7332904601905799
7,50,0.3,"[144, 166, 98, 372]",0.658191148171905,0.6913258342348075,0.7805158814751652,0.7332182276489773
8,50,0.4,"[144, 166, 98, 372]",0.6581398332264272,0.6913024352323955,0.7804306118098486,0.7331674107276169
9,50,0.5,"[144, 166, 98, 372]",0.6581398332264272,0.6913024352323955,0.7804306118098486,0.7331674107276169
10,75,0.1,"[144, 166, 98, 372]",0.6582681205901219,0.6913320914324577,0.7807290556384565,0.7333158385272547
11,75,0.2,"[144, 166, 98, 372]",0.658191148171905,0.6913258342348075,0.7805158814751652,0.7332182276489773
12,75,0.3,"[144, 166, 98, 372]",0.6581398332264272,0.6913024352323955,0.7804306118098486,0.7331674107276169
13,75,0.4,"[144, 166, 98, 372]",0.6581398332264272,0.6913024352323955,0.7804306118098486,0.7331674107276169
14,75,0.5,"[144, 166, 98, 372]",0.6581398332264272,0.6913024352323955,0.7804306118098486,0.7331674107276169
