,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[123, 187, 66, 404]","[116, 195, 65, 404]","[134, 177, 62, 407]","[115, 196, 56, 413]","[119, 192, 62, 407]","[124, 186, 67, 402]",[1232 1872  627 4064],[1224 1880  605 4086],[1226 1878  618 4073],[1222 1882  631 4060],[1223 1881  604 4087]
1,200,7,"[149, 161, 85, 385]","[144, 167, 76, 393]","[160, 151, 80, 389]","[137, 174, 76, 393]","[148, 163, 76, 393]","[147, 163, 84, 385]",[1487 1617  790 3901],[1486 1618  799 3892],[1478 1626  773 3918],[1488 1616  792 3899],[1471 1633  799 3892]
2,200,10,"[156, 154, 88, 382]","[160, 151, 84, 385]","[170, 141, 84, 385]","[162, 149, 79, 390]","[168, 143, 93, 376]","[159, 151, 87, 382]",[1622 1482  867 3824],[1604 1500  882 3809],[1608 1496  877 3814],[1632 1472  855 3836],[1618 1486  861 3830]
3,300,5,"[127, 183, 68, 402]","[121, 190, 66, 403]","[136, 175, 63, 406]","[116, 195, 58, 411]","[122, 189, 65, 404]","[130, 180, 70, 399]",[1255 1849  641 4050],[1238 1866  609 4082],[1234 1870  629 4062],[1225 1879  626 4065],[1233 1871  611 4080]
4,300,7,"[150, 160, 88, 382]","[142, 169, 79, 390]","[163, 148, 81, 388]","[139, 172, 75, 394]","[151, 160, 78, 391]","[148, 162, 85, 384]",[1497 1607  803 3888],[1491 1613  796 3895],[1493 1611  787 3904],[1494 1610  798 3893],[1489 1615  798 3893]
5,300,10,"[158, 152, 90, 380]","[159, 152, 85, 384]","[168, 143, 85, 384]","[163, 148, 78, 391]","[166, 145, 92, 377]","[162, 148, 87, 382]",[1625 1479  866 3825],[1613 1491  884 3807],[1613 1491  873 3818],[1630 1474  855 3836],[1628 1476  866 3825]
6,400,5,"[128, 182, 65, 405]","[122, 189, 66, 403]","[135, 176, 62, 407]","[114, 197, 58, 411]","[118, 193, 66, 403]","[125, 185, 67, 402]",[1246 1858  637 4054],[1225 1879  620 4071],[1219 1885  627 4064],[1222 1882  627 4064],[1232 1872  610 4081]
7,400,7,"[152, 158, 86, 384]","[145, 166, 76, 393]","[161, 150, 81, 388]","[145, 166, 76, 393]","[152, 159, 80, 389]","[145, 165, 85, 384]",[1503 1601  806 3885],[1479 1625  794 3897],[1489 1615  781 3910],[1490 1614  788 3903],[1489 1615  792 3899]
8,400,10,"[157, 153, 89, 381]","[159, 152, 87, 382]","[169, 142, 88, 381]","[161, 150, 77, 392]","[171, 140, 89, 380]","[161, 149, 88, 381]",[1622 1482  864 3827],[1621 1483  886 3805],[1619 1485  873 3818],[1632 1472  861 3830],[1624 1480  867 3824]
9,500,5,"[127, 183, 66, 404]","[119, 192, 65, 404]","[135, 176, 62, 407]","[116, 195, 58, 411]","[119, 192, 67, 402]","[123, 187, 68, 401]",[1243 1861  641 4050],[1240 1864  625 4066],[1229 1875  632 4059],[1230 1874  632 4059],[1236 1868  619 4072]
10,500,7,"[154, 156, 87, 383]","[145, 166, 77, 392]","[159, 152, 79, 390]","[144, 167, 75, 394]","[151, 160, 82, 387]","[147, 163, 86, 383]",[1504 1600  811 3880],[1491 1613  800 3891],[1494 1610  781 3910],[1495 1609  796 3895],[1489 1615  797 3894]
11,500,10,"[156, 154, 89, 381]","[158, 153, 86, 383]","[170, 141, 87, 382]","[163, 148, 79, 390]","[169, 142, 89, 380]","[161, 149, 88, 381]",[1621 1483  864 3827],[1621 1483  886 3805],[1619 1485  868 3823],[1638 1466  860 3831],[1628 1476  868 3823]
