,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]",[10036   524  3203   726],[9957  603 3088  841],[9972  588 3101  828],[10040   520  3212   717],[9954  606 3100  829]
1,rbf,0.1,1.0,,"[1025, 31, 337, 56]","[1020, 36, 323, 70]","[1013, 43, 349, 44]","[1018, 38, 320, 73]","[1015, 41, 351, 42]","[1018, 38, 330, 63]",[10122   438  3311   618],[10113   447  3273   656],[10153   407  3317   612],[10129   431  3342   587],[10112   448  3282   647]
2,poly,0.1,1.0,2.0,"[1024, 32, 338, 55]","[1014, 42, 319, 74]","[1010, 46, 347, 46]","[1013, 43, 317, 76]","[1056, 0, 393, 0]","[1016, 40, 329, 64]",[10138   422  3335   594],[10042   518  3215   714],[10092   468  3258   671],[10138   422  3347   582],[10040   520  3223   706]
3,poly,0.1,1.0,3.0,"[1020, 36, 330, 63]","[1012, 44, 314, 79]","[1005, 51, 333, 60]","[1009, 47, 311, 82]","[1012, 44, 350, 43]","[1011, 45, 325, 68]",[10059   501  3239   690],[10039   521  3192   737],[10071   489  3213   716],[10122   438  3328   601],[10054   506  3212   717]
4,rbf,0.1,10.0,,"[1023, 33, 337, 56]","[1018, 38, 321, 72]","[1014, 42, 349, 44]","[1017, 39, 323, 70]","[1015, 41, 351, 42]","[1030, 26, 342, 51]",[10128   432  3334   595],[10109   451  3285   644],[10155   405  3332   597],[10113   447  3340   589],[10124   436  3311   618]
5,poly,0.1,10.0,2.0,"[1010, 46, 326, 67]","[1009, 47, 313, 80]","[1004, 52, 334, 59]","[1010, 46, 311, 82]","[623, 433, 161, 232]","[1006, 50, 322, 71]",[9612  948 3021  908],[10010   550  3178   751],[10059   501  3216   713],[9087 1473 2943  986],[9994  566 3205  724]
6,poly,0.1,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 331, 62]","[1003, 53, 300, 93]","[643, 413, 276, 117]","[1005, 51, 322, 71]",[9656  904 3129  800],[10008   552  3145   784],[10032   528  3165   764],[10083   477  3262   667],[10008   552  3154   775]
7,linear,1.0,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]",[10035   525  3202   727],[9957  603 3088  841],[9972  588 3101  828],[10040   520  3212   717],[9954  606 3100  829]
8,rbf,1.0,1.0,,"[1018, 38, 326, 67]","[1007, 49, 310, 83]","[1003, 53, 330, 63]","[1008, 48, 306, 87]","[1015, 41, 351, 42]","[1007, 49, 321, 72]",[10040   520  3212   717],[10020   540  3159   770],[10053   507  3177   752],[10041   519  3235   694],[10027   533  3162   767]
9,poly,1.0,1.0,2.0,"[1010, 46, 326, 67]","[1012, 44, 317, 76]","[1005, 51, 334, 59]","[1012, 44, 317, 76]","[1056, 0, 393, 0]","[1015, 41, 329, 64]",[10065   495  3285   644],[10023   537  3203   726],[10068   492  3230   699],[10109   451  3316   613],[10015   545  3205   724]
