,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[80, 230, 44, 426]","[84, 227, 52, 417]","[93, 218, 37, 432]","[73, 238, 32, 437]","[90, 221, 32, 437]","[87, 223, 49, 420]",[ 878 2226  425 4266],[ 891 2213  434 4257],[ 916 2188  454 4237],[ 900 2204  433 4258],[ 896 2208  433 4258]
1,1,"[50, 100, 150]",100,"[80, 230, 44, 426]","[84, 227, 52, 417]","[94, 217, 37, 432]","[74, 237, 34, 435]","[92, 219, 33, 436]","[80, 230, 48, 421]",[ 874 2230  427 4264],[ 895 2209  437 4254],[ 911 2193  452 4239],[ 899 2205  431 4260],[ 889 2215  424 4267]
2,1,"[50, 100, 150]",150,"[80, 230, 44, 426]","[84, 227, 52, 417]","[94, 217, 37, 432]","[73, 238, 32, 437]","[92, 219, 34, 435]","[79, 231, 48, 421]",[ 870 2234  426 4265],[ 891 2213  436 4255],[ 911 2193  457 4234],[ 907 2197  436 4255],[ 897 2207  426 4265]
3,1,"[50, 100, 150]",50,"[119, 191, 69, 401]","[119, 192, 67, 402]","[132, 179, 60, 409]","[99, 212, 50, 419]","[126, 185, 58, 411]","[115, 195, 67, 402]",[1214 1890  639 4052],[1180 1924  651 4040],[1169 1935  637 4054],[1165 1939  612 4079],[1177 1927  622 4069]
4,1,"[50, 100, 150]",100,"[120, 190, 70, 400]","[120, 191, 69, 400]","[132, 179, 60, 409]","[99, 212, 51, 418]","[124, 187, 57, 412]","[113, 197, 67, 402]",[1213 1891  642 4049],[1191 1913  660 4031],[1171 1933  632 4059],[1167 1937  610 4081],[1188 1916  628 4063]
5,1,"[50, 100, 150]",150,"[121, 189, 71, 399]","[119, 192, 67, 402]","[132, 179, 60, 409]","[99, 212, 51, 418]","[124, 187, 57, 412]","[113, 197, 67, 402]",[1212 1892  644 4047],[1189 1915  660 4031],[1169 1935  632 4059],[1169 1935  618 4073],[1182 1922  621 4070]
6,1,"[50, 100, 150]",50,"[133, 177, 75, 395]","[133, 178, 77, 392]","[138, 173, 65, 404]","[108, 203, 60, 409]","[132, 179, 64, 405]","[124, 186, 72, 397]",[1315 1789  709 3982],[1347 1757  774 3917],[1317 1787  735 3956],[1335 1769  730 3961],[1352 1752  735 3956]
7,1,"[50, 100, 150]",100,"[130, 180, 75, 395]","[133, 178, 77, 392]","[138, 173, 65, 404]","[109, 202, 60, 409]","[131, 180, 65, 404]","[125, 185, 72, 397]",[1308 1796  710 3981],[1350 1754  771 3920],[1319 1785  738 3953],[1334 1770  730 3961],[1358 1746  740 3951]
8,1,"[50, 100, 150]",150,"[129, 181, 75, 395]","[133, 178, 77, 392]","[138, 173, 65, 404]","[109, 202, 59, 410]","[131, 180, 64, 405]","[133, 177, 75, 394]",[1312 1792  712 3979],[1355 1749  773 3918],[1325 1779  740 3951],[1339 1765  736 3955],[1359 1745  739 3952]
9,2,"[50, 100, 150]",50,"[138, 172, 77, 393]","[141, 170, 83, 386]","[168, 143, 82, 387]","[124, 187, 66, 403]","[148, 163, 87, 382]","[144, 166, 83, 386]",[1452 1652  811 3880],[1458 1646  845 3846],[1408 1696  805 3886],[1411 1693  797 3894],[1448 1656  809 3882]
