,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix.6,Confusion Matrix.7,Confusion Matrix.8,Confusion Matrix.9,Confusion Matrix
0,1,50,"[1041, 15, 370, 23]","[1048, 8, 362, 31]","[1029, 27, 362, 31]","[1042, 14, 358, 35]","[1038, 18, 365, 28]","[1047, 9, 369, 24]","[1039, 17, 368, 25]","[1048, 8, 367, 26]","[1041, 15, 373, 20]","[1047, 9, 370, 22]",[10420   140  3664   265]
1,1,100,"[1031, 25, 345, 48]","[1036, 20, 350, 43]","[1019, 37, 351, 42]","[1032, 24, 335, 58]","[1026, 30, 340, 53]","[1038, 18, 353, 40]","[1024, 32, 345, 48]","[1023, 33, 344, 49]","[1022, 34, 341, 52]","[1033, 23, 352, 40]",[10284   276  3456   473]
2,1,150,"[1028, 28, 339, 54]","[1033, 23, 341, 52]","[1015, 41, 345, 48]","[1021, 35, 319, 74]","[1011, 45, 322, 71]","[1026, 30, 333, 60]","[1017, 39, 335, 58]","[1018, 38, 334, 59]","[1017, 39, 333, 60]","[1023, 33, 338, 54]",[10209   351  3339   590]
3,2,50,"[1028, 28, 337, 56]","[1023, 33, 326, 67]","[1014, 42, 345, 48]","[1029, 27, 334, 59]","[1016, 40, 329, 64]","[1026, 30, 335, 58]","[1012, 44, 328, 65]","[1010, 46, 334, 59]","[1013, 43, 333, 60]","[1020, 36, 325, 67]",[10191   369  3326   603]
4,2,100,"[1021, 35, 325, 68]","[1016, 40, 317, 76]","[1004, 52, 331, 62]","[1012, 44, 305, 88]","[1003, 53, 309, 84]","[1015, 41, 321, 72]","[1009, 47, 322, 71]","[1005, 51, 331, 62]","[1002, 54, 314, 79]","[1012, 44, 313, 79]",[10099   461  3188   741]
5,2,150,"[1019, 37, 322, 71]","[1016, 40, 315, 78]","[1004, 52, 328, 65]","[1007, 49, 298, 95]","[998, 58, 309, 84]","[1011, 45, 314, 79]","[1007, 49, 314, 79]","[1002, 54, 325, 68]","[999, 57, 311, 82]","[1011, 45, 309, 83]",[10074   486  3145   784]
6,3,50,"[1020, 36, 319, 74]","[1024, 32, 329, 64]","[999, 57, 322, 71]","[1011, 45, 300, 93]","[994, 62, 301, 92]","[1010, 46, 315, 78]","[1007, 49, 322, 71]","[1002, 54, 337, 56]","[997, 59, 300, 93]","[1009, 47, 311, 81]",[10073   487  3156   773]
7,3,100,"[1020, 36, 319, 74]","[1015, 41, 316, 77]","[1006, 50, 323, 70]","[1006, 50, 296, 97]","[999, 57, 305, 88]","[1012, 44, 313, 80]","[1003, 53, 327, 66]","[1002, 54, 333, 60]","[991, 65, 294, 99]","[1008, 48, 311, 81]",[10062   498  3137   792]
8,3,150,"[1019, 37, 314, 79]","[1012, 44, 312, 81]","[1005, 51, 316, 77]","[1003, 53, 292, 101]","[993, 63, 302, 91]","[1005, 51, 308, 85]","[1001, 55, 322, 71]","[996, 60, 324, 69]","[992, 64, 295, 98]","[1002, 54, 305, 87]",[10028   532  3090   839]
9,4,50,"[1014, 42, 310, 83]","[1013, 43, 318, 75]","[999, 57, 313, 80]","[1006, 50, 294, 99]","[992, 64, 301, 92]","[1013, 43, 317, 76]","[1007, 49, 324, 69]","[998, 58, 329, 64]","[990, 66, 303, 90]","[1008, 48, 310, 82]",[10040   520  3119   810]
10,4,100,"[1013, 43, 312, 81]","[1018, 38, 327, 66]","[1001, 55, 311, 82]","[1005, 51, 291, 102]","[995, 61, 303, 90]","[1008, 48, 309, 84]","[1001, 55, 321, 72]","[1000, 56, 325, 68]","[992, 64, 301, 92]","[1001, 55, 307, 85]",[10034   526  3107   822]
11,4,150,"[1009, 47, 306, 87]","[1015, 41, 313, 80]","[996, 60, 303, 90]","[1004, 52, 288, 105]","[995, 61, 302, 91]","[1004, 52, 302, 91]","[1003, 53, 320, 73]","[992, 64, 319, 74]","[988, 68, 293, 100]","[999, 57, 301, 91]",[10005   555  3047   882]
