,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix
0,1,50,"[2080, 32, 713, 73]","[2036, 76, 671, 115]","[2091, 21, 728, 58]","[2036, 76, 684, 102]","[2038, 74, 659, 126]",[10281   279  3455   474]
1,1,100,"[2053, 59, 674, 112]","[2028, 84, 661, 125]","[2063, 49, 680, 106]","[2033, 79, 665, 121]","[2050, 62, 679, 106]",[10227   333  3359   570]
2,1,150,"[2040, 72, 654, 132]","[2025, 87, 657, 129]","[2061, 51, 675, 111]","[2029, 83, 659, 127]","[2038, 74, 656, 129]",[10193   367  3301   628]
3,2,50,"[2043, 69, 650, 136]","[2034, 78, 665, 121]","[2044, 68, 658, 128]","[2033, 79, 669, 117]","[2035, 77, 660, 125]",[10189   371  3302   627]
4,2,100,"[2047, 65, 655, 131]","[2035, 77, 665, 121]","[2035, 77, 655, 131]","[2032, 80, 661, 125]","[2036, 76, 661, 124]",[10185   375  3297   632]
5,2,150,"[2039, 73, 645, 141]","[2032, 80, 657, 129]","[2011, 101, 632, 154]","[1997, 115, 626, 160]","[2010, 102, 635, 150]",[10089   471  3195   734]
6,3,50,"[2040, 72, 647, 139]","[2034, 78, 668, 118]","[2008, 104, 628, 158]","[2009, 103, 640, 146]","[2018, 94, 629, 156]",[10109   451  3212   717]
7,3,100,"[2009, 103, 601, 185]","[2004, 108, 628, 158]","[2003, 109, 627, 159]","[1995, 117, 619, 167]","[2006, 106, 623, 162]",[10017   543  3098   831]
8,3,150,"[1994, 118, 592, 194]","[1991, 121, 613, 173]","[1994, 118, 612, 174]","[1989, 123, 613, 173]","[1980, 132, 608, 177]",[9948  612 3038  891]
9,4,50,"[2021, 91, 615, 171]","[1997, 115, 620, 166]","[2000, 112, 612, 174]","[2004, 108, 637, 149]","[2006, 106, 624, 161]",[10028   532  3108   821]
10,4,100,"[2002, 110, 603, 183]","[1989, 123, 608, 178]","[1998, 114, 610, 176]","[1988, 124, 618, 168]","[1992, 120, 606, 179]",[9969  591 3045  884]
11,4,150,"[1997, 115, 598, 188]","[1983, 129, 603, 183]","[1986, 126, 605, 181]","[1982, 130, 607, 179]","[1980, 132, 603, 182]",[9928  632 3016  913]
