,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[1013, 43, 311, 82]","[1006, 50, 303, 90]","[1005, 51, 320, 73]","[996, 60, 298, 95]","[988, 68, 302, 91]","[1011, 45, 313, 80]",[10008   552  3099   830],[10013   547  3087   842],[10005   555  3090   839],[10009   551  3085   844],[10014   546  3101   828]
1,3,75,"[1013, 43, 310, 83]","[1004, 52, 305, 88]","[999, 57, 314, 79]","[997, 59, 291, 102]","[989, 67, 302, 91]","[1009, 47, 307, 86]",[9998  562 3079  850],[10012   548  3075   854],[10009   551  3079   850],[9994  566 3075  854],[9995  565 3101  828]
2,3,100,"[1013, 43, 307, 86]","[999, 57, 299, 94]","[1001, 55, 311, 82]","[994, 62, 293, 100]","[987, 69, 300, 93]","[1008, 48, 307, 86]",[9978  582 3055  874],[9991  569 3051  878],[9992  568 3055  874],[9967  593 3052  877],[9992  568 3073  856]
3,3,125,"[1011, 45, 307, 86]","[999, 57, 299, 94]","[1000, 56, 309, 84]","[993, 63, 291, 102]","[986, 70, 300, 93]","[1007, 49, 304, 89]",[9963  597 3044  885],[9973  587 3030  899],[9970  590 3032  897],[9961  599 3035  894],[9963  597 3045  884]
4,3,150,"[1011, 45, 306, 87]","[1000, 56, 296, 97]","[1002, 54, 308, 85]","[989, 67, 292, 101]","[986, 70, 299, 94]","[1006, 50, 303, 90]",[9960  600 3031  898],[9960  600 3014  915],[9954  606 3009  920],[9949  611 3022  907],[9952  608 3036  893]
5,4,50,"[1014, 42, 315, 78]","[1002, 54, 301, 92]","[998, 58, 318, 75]","[995, 61, 291, 102]","[985, 71, 301, 92]","[1011, 45, 317, 76]",[9993  567 3089  840],[10019   541  3085   844],[10017   543  3087   842],[10014   546  3086   843],[10005   555  3103   826]
6,4,75,"[1015, 41, 315, 78]","[1001, 55, 299, 94]","[999, 57, 310, 83]","[993, 63, 292, 101]","[986, 70, 298, 95]","[1010, 46, 312, 81]",[9983  577 3063  866],[9994  566 3059  870],[9998  562 3074  855],[9991  569 3068  861],[9997  563 3076  853]
7,4,100,"[1016, 40, 311, 82]","[999, 57, 297, 96]","[1000, 56, 304, 89]","[988, 68, 292, 101]","[983, 73, 297, 96]","[1009, 47, 309, 84]",[9969  591 3037  892],[9973  587 3038  891],[9982  578 3052  877],[9975  585 3043  886],[9969  591 3046  883]
8,4,125,"[1014, 42, 309, 84]","[997, 59, 297, 96]","[996, 60, 300, 93]","[986, 70, 289, 104]","[982, 74, 296, 97]","[1007, 49, 306, 87]",[9947  613 3020  909],[9953  607 3026  903],[9959  601 3026  903],[9950  610 3031  898],[9950  610 3028  901]
9,4,150,"[1013, 43, 308, 85]","[996, 60, 296, 97]","[994, 62, 300, 93]","[984, 72, 285, 108]","[984, 72, 295, 98]","[1003, 53, 304, 89]",[9935  625 3010  919],[9945  615 2999  930],[9951  609 3012  917],[9927  633 3021  908],[9933  627 3012  917]
